index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
<built-in function id>,A entellus and a basset are both a type of [MASK] ,mammal | primate | dog,0,C,C,2,0
<built-in function id>,A caribou and a chamois are both a type of [MASK] ,mammal | deer | substance,0,A,A,0,1
<built-in function id>,A silverback and a beef are both a type of [MASK] ,mammal | primate | food,0,A,A,0,1
<built-in function id>,A beef and a chimpanzee are both a type of [MASK] ,primate | mammal | meat,1,B,B,1,1
<built-in function id>,A spaniel and a homo are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
<built-in function id>,A beagle and a ape are both a type of [MASK] ,mammal | dog | primate,0,A,A,0,1
<built-in function id>,A collie and a marmoset are both a type of [MASK] ,primate | dog | mammal,2,B,B,1,0
<built-in function id>,A baboon and a buckskin are both a type of [MASK] ,primate | substance | mammal,2,C,C,2,1
<built-in function id>,A buckskin and a fawn are both a type of [MASK] ,mammal | deer | substance,0,B,B,1,0
<built-in function id>,A marmoset and a terrier are both a type of [MASK] ,dog | primate | mammal,2,C,C,2,1
<built-in function id>,A terrier and a fawn are both a type of [MASK] ,dog | mammal | deer,1,A,A,0,0
<built-in function id>,A barbet and a poultry are both a type of [MASK] ,bird | animal | meat,0,A,A,0,1
<built-in function id>,A eagle and a poultry are both a type of [MASK] ,meat | organism | bird,2,C,C,2,1
<built-in function id>,A myna and a poultry are both a type of [MASK] ,animal | bird | food,1,B,B,1,1
<built-in function id>,A redstart and a poultry are both a type of [MASK] ,animal | bird | meat,1,B,B,1,1
<built-in function id>,A guan and a poultry are both a type of [MASK] ,bird | organism | food,0,A,A,0,1
<built-in function id>,A cedar waxwing and a poultry are both a type of [MASK] ,food | bird | organism,1,B,B,1,1
<built-in function id>,A guillemot and a poultry are both a type of [MASK] ,meat | organism | bird,2,C,C,2,1
<built-in function id>,A domestic fowl and a poultry are both a type of [MASK] ,bird | meat | organism,0,A,A,0,1
<built-in function id>,A poultry and a skua are both a type of [MASK] ,animal | bird | meat,1,B,B,1,1
<built-in function id>,A skua and a wildfowl are both a type of [MASK] ,organism | bird | meat,1,B,B,1,1
<built-in function id>,A parakeet and a marabou are both a type of [MASK] ,parrot | bird | substance,1,A,A,0,0
<built-in function id>,A solitaire and a wildfowl are both a type of [MASK] ,organism | meat | bird,2,C,C,2,1
<built-in function id>,A moorcock and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A,A,0,1
<built-in function id>,A linnet and a budgerigar are both a type of [MASK] ,parrot | bird | finch,1,C,C,2,0
<built-in function id>,A hoopoe and a wildfowl are both a type of [MASK] ,bird | organism | food,0,A,A,0,1
<built-in function id>,A budgerigar and a chicken are both a type of [MASK] ,meat | bird | parrot,1,B,B,1,1
<built-in function id>,A scoter and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A,A,0,1
<built-in function id>,A shoveler and a chicken are both a type of [MASK] ,duck | food | bird,2,C,C,2,1
<built-in function id>,A chicken and a bufflehead are both a type of [MASK] ,bird | duck | food,0,A,A,0,1
<built-in function id>,A archaeopteryx and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B,B,1,1
<built-in function id>,A brant and a wildfowl are both a type of [MASK] ,food | animal | bird,2,C,C,2,1
<built-in function id>,A siskin and a grouse are both a type of [MASK] ,finch | meat | bird,2,C,C,2,1
<built-in function id>,A marabou and a mamo are both a type of [MASK] ,substance | finch | bird,2,C,C,2,1
<built-in function id>,A rhea and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A,A,0,1
<built-in function id>,A ern and a wildfowl are both a type of [MASK] ,animal | bird | food,1,B,B,1,1
<built-in function id>,A bobolink and a wildfowl are both a type of [MASK] ,organism | meat | bird,2,C,C,2,1
<built-in function id>,A redpoll and a scaup are both a type of [MASK] ,duck | bird | finch,1,A,A,0,0
<built-in function id>,A serin and a merganser are both a type of [MASK] ,finch | bird | duck,1,B,B,1,1
<built-in function id>,A scaup and a grouse are both a type of [MASK] ,food | bird | duck,1,B,B,1,1
<built-in function id>,A gallinule and a wildfowl are both a type of [MASK] ,food | bird | organism,1,B,B,1,1
<built-in function id>,A solan and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B,B,1,1
<built-in function id>,A kea and a merganser are both a type of [MASK] ,duck | parrot | bird,2,C,C,2,1
<built-in function id>,A wheatear and a wildfowl are both a type of [MASK] ,bird | meat | animal,0,A,A,0,1
<built-in function id>,A titmouse and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A,A,0,1
<built-in function id>,A jackdaw and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B,B,1,1
<built-in function id>,A killdeer and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A,A,0,1
<built-in function id>,A jungle fowl and a wildfowl are both a type of [MASK] ,animal | meat | bird,2,C,C,2,1
<built-in function id>,A merganser and a towhee are both a type of [MASK] ,bird | duck | finch,0,A,A,0,1
<built-in function id>,A auklet and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A,A,0,1
<built-in function id>,A verdin and a wildfowl are both a type of [MASK] ,food | organism | bird,2,C,C,2,1
<built-in function id>,A pochard and a capon are both a type of [MASK] ,duck | food | bird,2,A,A,0,0
<built-in function id>,A veery and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A,A,0,1
<built-in function id>,A tody and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B,B,1,1
<built-in function id>,A albatross and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B,B,1,1
<built-in function id>,A bufflehead and a wildfowl are both a type of [MASK] ,food | duck | bird,2,C,C,2,1
<built-in function id>,A pitta and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B,B,1,1
<built-in function id>,A turnstone and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A,A,0,1
<built-in function id>,A grosbeak and a wildfowl are both a type of [MASK] ,finch | food | bird,2,C,C,2,1
<built-in function id>,A pipit and a wildfowl are both a type of [MASK] ,animal | bird | meat,1,B,B,1,1
<built-in function id>,A kinglet and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B,B,1,1
<built-in function id>,A capon and a mamo are both a type of [MASK] ,bird | finch | food,0,A,A,0,1
<built-in function id>,A waterfowl and a wildfowl are both a type of [MASK] ,bird | animal | food,0,A,A,0,1
<built-in function id>,A mamo and a wildfowl are both a type of [MASK] ,animal | bird | meat,1,B,B,1,1
<built-in function id>,A towhee and a mallard are both a type of [MASK] ,finch | bird | duck,1,C,C,2,0
<built-in function id>,A whooping crane and a wildfowl are both a type of [MASK] ,meat | organism | bird,2,C,C,2,1
<built-in function id>,A wagtail and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A,A,0,1
<built-in function id>,A grouse and a old squaw are both a type of [MASK] ,duck | bird | food,1,B,B,1,1
<built-in function id>,A meadowlark and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B,B,1,1
<built-in function id>,A scarlet tanager and a wildfowl are both a type of [MASK] ,organism | food | bird,2,C,C,2,1
<built-in function id>,A mallard and a wildfowl are both a type of [MASK] ,meat | duck | bird,2,B,B,1,0
<built-in function id>,A peregrine and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A,A,0,1
<built-in function id>,A oystercatcher and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A,A,0,1
<built-in function id>,A hen and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B,B,1,1
<built-in function id>,A chick and a wildfowl are both a type of [MASK] ,food | bird | organism,1,B,B,1,1
<built-in function id>,A peafowl and a wildfowl are both a type of [MASK] ,bird | meat | animal,0,A,A,0,1
<built-in function id>,A osprey and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B,B,1,1
<built-in function id>,A goldeneye and a wildfowl are both a type of [MASK] ,meat | bird | insect,1,B,B,1,1
<built-in function id>,A nuthatch and a wildfowl are both a type of [MASK] ,organism | bird | meat,1,B,B,1,1
<built-in function id>,A moorhen and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A,A,0,1
<built-in function id>,A nighthawk and a wildfowl are both a type of [MASK] ,meat | organism | bird,2,C,C,2,1
<built-in function id>,A curlew and a wildfowl are both a type of [MASK] ,food | animal | bird,2,C,C,2,1
<built-in function id>,A mousse and a dumpling are both a type of [MASK] ,dish | pasta | dessert,2,C,C,2,1
<built-in function id>,A haddock and a eagle are both a type of [MASK] ,bird | fish | organism,2,A,A,0,0
<built-in function id>,A barbet and a andrena are both a type of [MASK] ,bee | bird | organism,2,B,B,1,0
<built-in function id>,A eagle and a mare are both a type of [MASK] ,organism | mammal | bird,0,B,B,1,0
<built-in function id>,A pompon and a andrena are both a type of [MASK] ,bee | organism | fish,1,A,A,0,0
<built-in function id>,A myna and a chives are both a type of [MASK] ,food | bird | organism,2,B,B,1,0
<built-in function id>,A andrena and a bowfin are both a type of [MASK] ,organism | fish | bee,0,B,B,1,0
<built-in function id>,A blastula and a chives are both a type of [MASK] ,food | organism | animal,1,B,B,1,1
<built-in function id>,A mare and a chives are both a type of [MASK] ,food | organism | mammal,1,C,C,2,0
<built-in function id>,A trilobite and a chives are both a type of [MASK] ,organism | animal | food,0,A,A,0,1
<built-in function id>,A iguanodon and a chives are both a type of [MASK] ,animal | food | organism,2,A,A,0,0
<built-in function id>,A weakfish and a redstart are both a type of [MASK] ,bird | food | organism,2,A,A,0,0
<built-in function id>,A blackbird and a chives are both a type of [MASK] ,organism | animal | food,0,A,A,0,1
<built-in function id>,A damselfish and a celeriac are both a type of [MASK] ,organism | food | animal,0,B,B,1,0
<built-in function id>,A praya and a chives are both a type of [MASK] ,food | animal | organism,2,C,C,2,1
<built-in function id>,A bowfin and a chives are both a type of [MASK] ,food | organism | animal,1,B,B,1,1
<built-in function id>,A redstart and a chives are both a type of [MASK] ,food | organism | bird,1,C,C,2,0
<built-in function id>,A wireworm and a chives are both a type of [MASK] ,animal | food | organism,2,C,C,2,1
<built-in function id>,A chives and a manta are both a type of [MASK] ,organism | animal | food,0,A,A,0,1
<built-in function id>,A manta and a cedar waxwing are both a type of [MASK] ,organism | bird | fish,0,B,B,1,0
<built-in function id>,A guan and a halibut are both a type of [MASK] ,organism | bird | food,0,A,A,0,1
<built-in function id>,A halibut and a cedar waxwing are both a type of [MASK] ,organism | fish | bird,0,C,C,2,0
<built-in function id>,A entellus and a scammony are both a type of [MASK] ,substance | organism | mammal,1,A,A,0,0
<built-in function id>,A cedar waxwing and a scammony are both a type of [MASK] ,substance | organism | bird,1,C,C,2,0
<built-in function id>,A guillemot and a scammony are both a type of [MASK] ,bird | substance | organism,2,A,A,0,0
<built-in function id>,A scammony and a earthworm are both a type of [MASK] ,animal | organism | substance,1,B,B,1,1
<built-in function id>,A earthworm and a celeriac are both a type of [MASK] ,food | animal | organism,2,C,C,2,1
<built-in function id>,A omnivore and a celeriac are both a type of [MASK] ,food | animal | organism,2,A,A,0,0
<built-in function id>,A chaetodon and a parakeet are both a type of [MASK] ,fish | organism | parrot,1,A,A,0,0
<built-in function id>,A actinia and a celeriac are both a type of [MASK] ,food | organism | animal,1,A,A,0,0
<built-in function id>,A paca and a scarab are both a type of [MASK] ,organism | mammal | insect,0,A,A,0,1
<built-in function id>,A scarab and a skua are both a type of [MASK] ,organism | insect | bird,0,C,C,2,0
<built-in function id>,A hog and a celeriac are both a type of [MASK] ,animal | organism | food,1,C,C,2,0
<built-in function id>,A domestic fowl and a wapiti are both a type of [MASK] ,bird | mammal | organism,2,A,A,0,0
<built-in function id>,A mustang and a turbot are both a type of [MASK] ,organism | fish | mammal,0,C,C,2,0
<built-in function id>,A skua and a monarch are both a type of [MASK] ,insect | bird | organism,2,B,B,1,0
<built-in function id>,A wapiti and a celeriac are both a type of [MASK] ,organism | food | mammal,0,B,B,1,0
<built-in function id>,A red deer and a celeriac are both a type of [MASK] ,food | organism | animal,1,C,C,2,0
<built-in function id>,A turbot and a bongo are both a type of [MASK] ,organism | mammal | food,0,A,A,0,1
<built-in function id>,A parakeet and a skink are both a type of [MASK] ,parrot | lizard | organism,2,B,B,1,0
<built-in function id>,A monarch and a skink are both a type of [MASK] ,lizard | organism | insect,1,A,A,0,0
<built-in function id>,A skink and a celeriac are both a type of [MASK] ,food | organism | animal,1,B,B,1,1
<built-in function id>,A dibranchiate and a celeriac are both a type of [MASK] ,organism | food | animal,0,B,B,1,0
<built-in function id>,A bongo and a celeriac are both a type of [MASK] ,animal | food | organism,2,B,B,1,0
<built-in function id>,A celeriac and a beluga are both a type of [MASK] ,fish | organism | food,1,C,C,2,0
<built-in function id>,A beluga and a brazilwood are both a type of [MASK] ,organism | substance | fish,0,C,C,2,0
<built-in function id>,A largemouth and a solitaire are both a type of [MASK] ,fish | bird | organism,2,A,A,0,0
<built-in function id>,A daphnia and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,C,C,2,1
<built-in function id>,A muskellunge and a moorcock are both a type of [MASK] ,fish | bird | organism,2,A,A,0,0
<built-in function id>,A maigre and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,A,A,0,0
<built-in function id>,A killifish and a brazilwood are both a type of [MASK] ,substance | organism | animal,1,B,B,1,1
<built-in function id>,A solitaire and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,A,A,0,0
<built-in function id>,A corn earworm and a brazilwood are both a type of [MASK] ,organism | animal | substance,0,A,A,0,1
<built-in function id>,A moorcock and a piranha are both a type of [MASK] ,organism | bird | fish,0,A,A,0,1
<built-in function id>,A piranha and a brazilwood are both a type of [MASK] ,organism | fish | substance,0,C,C,2,0
<built-in function id>,A linnet and a cero are both a type of [MASK] ,organism | bird | fish,0,B,B,1,0
<built-in function id>,A cicada and a cero are both a type of [MASK] ,insect | organism | fish,1,A,A,0,0
<built-in function id>,A cero and a brazilwood are both a type of [MASK] ,fish | organism | substance,1,C,C,2,0
<built-in function id>,A cobia and a brazilwood are both a type of [MASK] ,organism | animal | substance,0,C,C,2,0
<built-in function id>,A brazilwood and a hoopoe are both a type of [MASK] ,substance | organism | bird,1,C,C,2,0
<built-in function id>,A hoopoe and a bufo are both a type of [MASK] ,bird | organism | frog,1,A,A,0,0
<built-in function id>,A budgerigar and a hind are both a type of [MASK] ,organism | deer | parrot,0,C,C,2,0
<built-in function id>,A hind and a spinach are both a type of [MASK] ,organism | mammal | food,0,C,C,2,0
<built-in function id>,A bufo and a spinach are both a type of [MASK] ,food | organism | frog,1,C,C,2,0
<built-in function id>,A dingo and a spinach are both a type of [MASK] ,animal | organism | food,1,B,B,1,1
<built-in function id>,A impala and a spinach are both a type of [MASK] ,food | animal | organism,2,B,B,1,0
<built-in function id>,A spinach and a ocelot are both a type of [MASK] ,organism | mammal | food,0,A,A,0,1
<built-in function id>,A ocelot and a papyrus are both a type of [MASK] ,organism | substance | animal,0,C,C,2,0
<built-in function id>,A walking stick and a pinscher are both a type of [MASK] ,organism | mammal | insect,0,B,B,1,0
<built-in function id>,A pinscher and a escolar are both a type of [MASK] ,mammal | fish | organism,2,B,B,1,0
<built-in function id>,A escolar and a papyrus are both a type of [MASK] ,fish | organism | substance,1,A,A,0,0
<built-in function id>,A fissiped mammal and a papyrus are both a type of [MASK] ,substance | organism | animal,1,C,C,2,0
<built-in function id>,A lasagna and a dumpling are both a type of [MASK] ,dessert | pasta | dish,1,C,C,2,0
<built-in function id>,A spaghetti and a dumpling are both a type of [MASK] ,dish | pasta | dessert,1,B,B,1,1
<built-in function id>,A borsch and a lasagna are both a type of [MASK] ,pasta | soup | dish,2,C,C,2,1
<built-in function id>,A julienne and a lasagna are both a type of [MASK] ,pasta | soup | dish,2,A,A,0,0
<built-in function id>,A potage and a lasagna are both a type of [MASK] ,soup | pasta | dish,2,A,A,0,0
<built-in function id>,A bisque and a spaghetti are both a type of [MASK] ,dish | soup | pasta,0,C,C,2,0
<built-in function id>,A bouillon and a barbecue are both a type of [MASK] ,meal | soup | dish,2,C,C,2,1
<built-in function id>,A consomme and a mousse are both a type of [MASK] ,soup | dessert | dish,2,A,A,0,0
<built-in function id>,A vichyssoise and a barbecue are both a type of [MASK] ,soup | meal | dish,2,A,A,0,0
<built-in function id>,A gazpacho and a cannelloni are both a type of [MASK] ,pasta | dish | soup,1,B,B,1,1
<built-in function id>,A mousse and a barbecue are both a type of [MASK] ,dish | meal | dessert,0,A,A,0,1
<built-in function id>,A barbecue and a broth are both a type of [MASK] ,dish | soup | meal,0,A,A,0,1
<built-in function id>,A spaghetti and a chowder are both a type of [MASK] ,pasta | dish | soup,1,C,C,2,0
<built-in function id>,A couscous and a broth are both a type of [MASK] ,soup | dish | pasta,1,A,A,0,0
<built-in function id>,A pudding and a soup are both a type of [MASK] ,substance | dish | dessert,1,B,B,1,1
<built-in function id>,A chowder and a cannelloni are both a type of [MASK] ,dish | soup | pasta,0,A,A,0,1
<built-in function id>,A rickey and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,A,A,0,0
<built-in function id>,A kava and a ergosterol are both a type of [MASK] ,alcohol | food | substance,0,C,C,2,0
<built-in function id>,A brew and a ergosterol are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A metheglin and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,A,A,0,0
<built-in function id>,A zinfandel and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,C,C,2,1
<built-in function id>,A ratafia and a ergosterol are both a type of [MASK] ,substance | alcohol | food,1,A,A,0,0
<built-in function id>,A schnapps and a ergosterol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A macon and a ergosterol are both a type of [MASK] ,substance | wine | alcohol,2,A,A,0,0
<built-in function id>,A nipa and a ergosterol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A rotgut and a ergosterol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A koumiss and a ergosterol are both a type of [MASK] ,alcohol | substance | food,0,C,C,2,0
<built-in function id>,A bourbon and a ergosterol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A ergosterol and a champagne are both a type of [MASK] ,wine | alcohol | substance,1,A,A,0,0
<built-in function id>,A champagne and a cyclohexanol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A julep and a cyclohexanol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A cyclohexanol and a poteen are both a type of [MASK] ,substance | alcohol | food,1,B,B,1,1
<built-in function id>,A poteen and a cholesterol are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A kummel and a cholesterol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A applejack and a cholesterol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A bock and a cholesterol are both a type of [MASK] ,substance | alcohol | food,1,A,A,0,0
<built-in function id>,A geneva and a cholesterol are both a type of [MASK] ,alcohol | food | substance,0,C,C,2,0
<built-in function id>,A cholesterol and a hooch are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A hooch and a glycerol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A ouzo and a glycerol are both a type of [MASK] ,substance | food | alcohol,2,C,C,2,1
<built-in function id>,A firewater and a glycerol are both a type of [MASK] ,substance | food | alcohol,2,C,C,2,1
<built-in function id>,A glycerol and a kirsch are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A kirsch and a methanol are both a type of [MASK] ,substance | alcohol | food,1,B,B,1,1
<built-in function id>,A marc and a methanol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A aperitif and a methanol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A grappa and a methanol are both a type of [MASK] ,substance | alcohol | food,1,B,B,1,1
<built-in function id>,A grog and a methanol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A curacao and a methanol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A pastis and a methanol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A methanol and a collins are both a type of [MASK] ,substance | alcohol | food,1,B,B,1,1
<built-in function id>,A collins and a diol are both a type of [MASK] ,substance | food | alcohol,2,C,C,2,1
<built-in function id>,A whiskey and a diol are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A negus and a diol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A flip and a diol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A vermouth and a diol are both a type of [MASK] ,wine | alcohol | substance,1,A,A,0,0
<built-in function id>,A hot toddy and a diol are both a type of [MASK] ,alcohol | substance | food,0,A,A,0,1
<built-in function id>,A home brew and a diol are both a type of [MASK] ,substance | alcohol | food,1,B,B,1,1
<built-in function id>,A varietal and a diol are both a type of [MASK] ,wine | substance | alcohol,2,A,A,0,0
<built-in function id>,A screwdriver and a diol are both a type of [MASK] ,substance | food | alcohol,2,C,C,2,1
<built-in function id>,A swizzle and a diol are both a type of [MASK] ,food | alcohol | substance,1,C,C,2,0
<built-in function id>,A plonk and a diol are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A eggnog and a diol are both a type of [MASK] ,food | alcohol | substance,1,B,B,1,1
<built-in function id>,A wassail and a diol are both a type of [MASK] ,food | substance | alcohol,2,C,C,2,1
<built-in function id>,A diol and a aquavit are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A aquavit and a sterol are both a type of [MASK] ,alcohol | food | substance,0,A,A,0,1
<built-in function id>,A sake and a sterol are both a type of [MASK] ,substance | food | alcohol,2,A,A,0,0
