index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
0,when did the band where Slobodan Kovačević played first form?,1962 | 1964 | 1961,0,C),C,2,0
22,when did the band where Clyde McPhatter played first form?,1952 | 1951 | 1953,2,B) 1951,B,1,0
23,when did the band where Mandolino played first form?,1953 | 1954 | 1955,2,A) 1953,A,0,0
24,when did the band where Caleb Shomo played first form?,2011 | 2012 | 2014,1,A) 2011,A,0,0
25,when did the band where Irshu Bangash played first form?,2014 | 2015 | 2013,1,C) 2013,C,2,0
26,when did the band where David C. Johnson played first form?,1968 | 1970 | 1967,0,C),C,2,0
27,when did the band where Bizarre played first form?,1998 | 1995 | 1996,2,C) 1996,C,2,1
28,when did the band where Simon Le Bon played first form?,1987 | 1984 | 1985,2,B) 1984,B,1,0
29,when did the band where Erdman Penner played first form?,1950 | 1949 | 1948,2,B),B,1,0
30,when did the band where Rick Nielsen played first form?,1969 | 1966 | 1968,2,C) 1968,C,2,1
31,when did the band where Paul Wright played first form?,2007 | 2008 | 2009,0,A) 2007,A,0,1
32,when did the band where Jermaine Jackson played first form?,1963 | 1964 | 1966,1,B) 1964,B,1,1
33,when did the band where Ben E. King played first form?,1951 | 1953 | 1952,1,C),C,2,0
34,when did the band where Tobias Hayes played first form?,2007 | 2005 | 2006,1,C),C,2,0
35,when did the band where Fadil Redžić played first form?,1963 | 1964 | 1962,2,C),C,2,1
36,when did the band where Elske DeWall played first form?,2019 | 2018 | 2017,2,C) 2017,C,2,1
37,when did the band where Joe Keithley played first form?,1978 | 1980 | 1977,0,C) 1977,C,2,0
38,when did the band where Daniel Sais played first form?,1950 | 1948 | 1949,0,C),C,2,0
39,when did the band where Adrian Vandenberg played first form?,1994 | 1993 | 1991,1,C) 1991,C,2,0
40,when did the band where Gary Young played first form?,1970 | 1968 | 1969,0,C) 1969,C,2,0
41,when did the band where Eric Meyer played first form?,1981 | 1983 | 1984,1,B) 1983,B,1,1
42,when did the band where Eric Clapton played first form?,1963 | 1962 | 1961,0,A) 1963,A,0,1
43,"when did the band where Johnny ""Bee"" Badanjek played first form?",1971 | 1972 | 1970,1,C) 1970,C,2,0
44,when did the band where Spellgoth played first form?,2003 | 2001 | 2002,0,C) 2002,C,2,0
45,when did the band where Angelo D’Aleo played first form?,1959 | 1957 | 1956,1,B) 1957,B,1,1
46,when did the band where Dhani Harrison played first form?,2007 | 2006 | 2008,1,B) 2006,B,1,1
47,when did the band where Altti Veteläinen played first form?,1999 | 2001 | 1998,0,C),C,2,0
48,when did the band where Leah Lupatin played first form?,1970 | 1971 | 1972,2,B) 1971,B,1,0
49,when did the band where Cláudio Venturini played first form?,1979 | 1977 | 1978,0,C) 1978,C,2,0
50,when did the band where Ken Shimura played first form?,1955 | 1956 | 1958,1,C),C,2,0
51,when did the band where Conny Plank played first form?,1972 | 1969 | 1971,2,B) 1969,B,1,0
52,when did the band where Frank Thomas played first form?,1949 | 1950 | 1948,2,C),C,2,1
53,when did the band where Harry Wayne Casey played first form?,1971 | 1973 | 1974,1,A) 1971,A,0,0
54,when did the band where Karl Lemieux played first form?,1993 | 1992 | 1994,2,B) 1992,B,1,0
55,when did the band where Sheila E. played first form?,1987 | 1985 | 1984,1,C) 1984,C,2,0
56,when did the band where Moez Uddin Mohmand played first form?,2016 | 2017 | 2015,2,C) 2015,C,2,1
57,when did the band where Jill Jackson played first form?,2003 | 2001 | 2002,1,C),C,2,0
58,when did the band where Rachel Stevens played first form?,1997 | 1999 | 2000,1,B) 1999,B,1,1
59,when did the band where Yaya Cohen Harounoff played first form?,1996 | 1994 | 1995,0,C) 1995,C,2,0
60,when did the band where Wayne Static played first form?,1994 | 1995 | 1996,0,A) 1994,A,0,1
61,when did the band where Kazufumi Miyazawa played first form?,1988 | 1987 | 1986,2,B) 1987,B,1,0
62,when did the band where Clarke Mallery played first form?,1948 | 1947 | 1946,0,B) 1947,B,1,0
63,when did the band where Renārs Kaupers played first form?,1989 | 1988 | 1991,0,A) 1989,A,0,1
64,when did the band where Gina V. D'Orio played first form?,1997 | 1995 | 1994,1,B) 1995,B,1,1
65,when did the band where Stefan Babcock played first form?,2012 | 2011 | 2010,2,B) 2011,B,1,0
66,when did the band where Paul McCandless played first form?,1971 | 1968 | 1970,2,B) 1968,B,1,0
67,when did the band where Dion DiMucci played first form?,1955 | 1957 | 1958,1,A) 1955,A,0,0
68,when did the band where Carlo Mastrangelo played first form?,1957 | 1958 | 1955,0,C) 1955,C,2,0
69,when did the band where Crispian Mills played first form?,1986 | 1988 | 1987,1,C) 1987,C,2,0
70,when did the band where Kristen May played first form?,2006 | 2005 | 2004,2,B) 2005,B,1,0
71,when did the band where Nikki Nelson played first form?,1988 | 1986 | 1987,1,C) 1987,C,2,0
72,when did the band where Oscar Cash played first form?,1998 | 1999 | 1997,1,C) 1997,C,2,0
73,when did the band where Lionel Richie played first form?,1970 | 1968 | 1969,1,C) 1969,C,2,0
74,when did the band where Ray Charles played first form?,1986 | 1983 | 1985,2,B) 1983,B,1,0
75,when did the band where Gustavo Cerati played first form?,1952 | 1951 | 1950,2,B),B,1,0
76,when did the band where Jello Biafra played first form?,2008 | 2010 | 2007,0,C),C,2,0
77,when did the band where Im Young-min played first form?,2021 | 2019 | 2020,1,B) 2019,B,1,1
78,when did the band where Jonas Kuhlberg played first form?,2017 | 2016 | 2014,1,C) 2014,C,2,0
79,when did the band where Jeon Woong played first form?,2019 | 2020 | 2017,0,C) 2017,C,2,0
80,when did the band where Jonathan Davis played first form?,1991 | 1993 | 1992,0,C) 1992,C,2,0
81,when did the band where Remu Aaltonen played first form?,1972 | 1973 | 1971,2,C) 1971,C,2,1
82,when did the band where Adrian Borland played first form?,1977 | 1978 | 1979,2,A) 1977,A,0,0
83,when did the band where Zeta Bosio played first form?,1950 | 1948 | 1951,0,B),B,1,0
84,when did the band where José Alberto “El Canario” played first form?,1973 | 1974 | 1971,0,C) 1971,C,2,0
85,when did the band where Little Richard played first form?,1952 | 1951 | 1953,2,B) 1951,B,1,0
86,when did the band where Poly Styrene played first form?,1976 | 1974 | 1977,0,B) 1974,B,1,0
87,when did the band where Anni-Frid Lyngstad played first form?,1971 | 1970 | 1972,2,B) 1970,B,1,0
88,when did the band where Natalia Jiménez played first form?,2001 | 2002 | 2000,2,C),C,2,1
89,when did the band where Wendy Melvoin played first form?,1979 | 1978 | 1977,0,A) 1979,A,0,1
90,when did the band where Kim Deal played first form?,1988 | 1990 | 1987,0,C),C,2,0
91,when did the band where Juan José Palacios played first form?,1974 | 1976 | 1973,0,C),C,2,0
92,when did the band where Marco Sneck played first form?,1999 | 2001 | 2000,0,C),C,2,0
93,when did the band where Gary Brooker played first form?,1969 | 1966 | 1967,2,B) 1966,B,1,0
94,when did the band where Don Felder played first form?,1971 | 1973 | 1972,0,C) 1972,C,2,0
95,when did the band where Braulio López played first form?,1960 | 1961 | 1962,2,C) 1962,C,2,1
96,when did the band where Armando de Castro played first form?,1979 | 1981 | 1982,1,C),C,2,0
97,when did the band where Hiroto Kōmoto played first form?,2005 | 2006 | 2004,1,C),C,2,0
98,when did the band where Boon Gould played first form?,1981 | 1982 | 1980,2,C),C,2,1
99,when did the band where Ricardo Arjona played first form?,1950 | 1948 | 1949,0,C),C,2,0
100,when did the band where Angelica Rylin played first form?,2006 | 2005 | 2008,0,B) 2005,B,1,0
101,when did the band where Andi Kravljaca played first form?,2002 | 2004 | 2003,0,C),C,2,0
102,when did the band where John Rutsey played first form?,1969 | 1968 | 1970,1,B) 1968,B,1,1
103,when did the band where Kim Dong-hyun played first form?,2018 | 2017 | 2019,2,B),B,1,0
104,when did the band where Ian Curtis played first form?,1977 | 1978 | 1976,2,C) 1976,C,2,1
105,when did the band where Rudy Lewis played first form?,1954 | 1951 | 1953,2,C) 1953,C,2,1
106,when did the band where Hiroyuki Hayashi played first form?,1996 | 1995 | 1997,2,B) 1995,B,1,0
107,when did the band where Dinah Cancer played first form?,1979 | 1980 | 1977,0,C) 1977,C,2,0
108,when did the band where Scotty Wilkins played first form?,1983 | 1981 | 1982,1,C),C,2,0
109,when did the band where Bobby Hendricks played first form?,1954 | 1953 | 1955,1,A) 1954,A,0,0
110,when did the band where Keni Burke played first form?,1965 | 1966 | 1967,0,C) 1967,C,2,0
111,when did the band where Davorin Popović played first form?,1963 | 1962 | 1964,1,B),B,1,1
112,when did the band where Sinan Alimanović played first form?,1962 | 1961 | 1964,0,B) 1961,B,1,0
113,when did the band where Israel Gurion played first form?,1958 | 1957 | 1955,1,A) 1958,A,0,0
114,when did the band where Tomas Lindberg played first form?,1994 | 1996 | 1995,0,C) 1995,C,2,0
115,when did the band where Nuno Bettencourt played first form?,1984 | 1985 | 1987,1,A) 1984,A,0,0
116,when did the band where Richard Kolinka played first form?,1988 | 1986 | 1985,1,B) 1986,B,1,1
117,when did the band where Teri Gender Bender played first form?,2011 | 2012 | 2010,1,C) 2010,C,2,0
118,when did the band where cEvin Key played first form?,1994 | 1996 | 1993,0,C) 1993,C,2,0
119,when did the band where Alexandre Abescat played first form?,2015 | 2014 | 2013,2,C) 2013,C,2,1
120,when did the band where Rachèl Louise played first form?,2017 | 2019 | 2018,0,C),C,2,0
121,when did the band where Timothy Bruce Schmit played first form?,1971 | 1972 | 1973,0,A) 1971,A,0,1
122,when did the band where Jimmy Lewis played first form?,1951 | 1952 | 1953,2,C),C,2,1
123,when did the band where Beate S. Lech played first form?,1998 | 1999 | 2001,1,C),C,2,0
124,when did the band where Miles Hunt played first form?,1986 | 1987 | 1984,0,C) 1984,C,2,0
125,when did the band where Kumm played first form?,1993 | 1992 | 1991,0,B) 1992,B,1,0
126,when did the band where Larry Blackmon played first form?,1973 | 1974 | 1972,1,C) 1972,C,2,0
127,when did the band where Magnus Børmark played first form?,1999 | 1998 | 1997,0,A) 1999,A,0,1
128,when did the band where Masto played first form?,1976 | 1978 | 1979,1,C),C,2,0
129,when did the band where José Luis Guerra played first form?,1961 | 1962 | 1960,1,C),C,2,0
130,when did the band where William Mathias played first form?,1950 | 1952 | 1949,0,C),C,2,0
131,when did the band where Arthur Lee played first form?,1966 | 1963 | 1965,2,C) 1965,C,2,1
132,when did the band where Rolf Pilve played first form?,2016 | 2017 | 2014,0,C),C,2,0
133,when did the band where Kai Hahto played first form?,1996 | 1993 | 1994,2,C) 1994,C,2,1
134,when did the band where Joe Walsh played first form?,1972 | 1973 | 1971,2,C) 1971,C,2,1
135,when did the band where Tony Dolan played first form?,1978 | 1977 | 1976,0,A) 1978,A,0,1
136,when did the band where Dave Couse played first form?,1987 | 1984 | 1985,2,B) 1984,B,1,0
137,when did the band where Pat Badger played first form?,1984 | 1987 | 1985,2,C) 1985,C,2,1
138,when did the band where Lukas Forchhammer played first form?,2010 | 2011 | 2009,1,C),C,2,0
139,when did the band where John Macaluso played first form?,1989 | 1990 | 1992,1,C),C,2,0
140,when did the band where Cisse Häkkinen played first form?,1972 | 1971 | 1969,1,C) 1969,C,2,0
141,when did the band where Mackey Feary played first form?,1976 | 1975 | 1973,1,C) 1973,C,2,0
142,when did the band where Susan McFadden played first form?,2003 | 2004 | 2006,1,C),C,2,0
143,when did the band where Steve Dior played first form?,1981 | 1980 | 1978,1,A) 1981,A,0,0
144,when did the band where Andy Barlow played first form?,1994 | 1996 | 1995,1,C) 1995,C,2,0
145,when did the band where Lee Ving played first form?,1979 | 1976 | 1977,2,C) 1977,C,2,1
146,when did the band where Johnny Moore played first form?,1953 | 1955 | 1952,0,C) 1952,C,2,0
147,when did the band where Calum MacDonald played first form?,2013 | 2012 | 2010,1,C) 2010,C,2,0
148,when did the band where Nick Rhodes played first form?,1985 | 1987 | 1984,0,C),C,2,0
149,when did the band where LaTavia Roberson played first form?,1989 | 1992 | 1990,2,C) 1990,C,2,1
150,when did the band where Chū Arai played first form?,1958 | 1957 | 1956,2,A) 1958,A,0,0
151,when did the band where Bernie Leadon played first form?,1971 | 1973 | 1970,0,C) 1970,C,2,0
152,when did the band where Brandon Curtis played first form?,1999 | 2000 | 2002,1,C) 2002,C,2,0
153,when did the band where Esau Mwamwaya played first form?,2010 | 2008 | 2009,1,B) 2008,B,1,1
154,when did the band where Fred Milano played first form?,1955 | 1958 | 1957,2,C) 1957,C,2,1
155,when did the band where Andrea Corr played first form?,1992 | 1990 | 1991,1,C) 1991,C,2,0
156,when did the band where Charlie Allen played first form?,1965 | 1966 | 1967,2,C) 1967,C,2,1
157,when did the band where Johan Bergqvist played first form?,2005 | 2003 | 2004,0,C),C,2,0
158,when did the band where Jeff Ament played first form?,2014 | 2011 | 2012,2,B) 2011,B,1,0
159,when did the band where Victor Krummenacher played first form?,1984 | 1986 | 1987,1,A) 1984,A,0,0
160,when did the band where Alec MacKaye played first form?,1981 | 1980 | 1979,0,A) 1981,A,0,1
161,when did the band where Viktor Rybin played first form?,1987 | 1989 | 1988,0,C),C,2,0
162,when did the band where Cissy Houston played first form?,1963 | 1965 | 1962,0,C) 1962,C,2,0
163,when did the band where Phil Smith played first form?,1979 | 1980 | 1982,1,C),C,2,0
164,when did the band where Rick Froberg played first form?,2005 | 2008 | 2006,2,C),C,2,1
165,when did the band where Antti Kokko played first form?,1993 | 1994 | 1996,1,C),C,2,0
166,when did the band where Kristy Thirsk played first form?,1991 | 1992 | 1993,2,A) 1991,A,0,0
167,when did the band where Stuart Cable played first form?,1993 | 1992 | 1990,1,B) 1992,B,1,1
168,when did the band where Chosuke Ikariya played first form?,1956 | 1955 | 1954,0,A) 1956,A,0,1
169,when did the band where Andrew Wood played first form?,1988 | 1989 | 1987,2,C) 1987,C,2,1
170,when did the band where Andrew McMahon played first form?,2000 | 1998 | 1997,1,B) 1998,B,1,1
171,when did the band where Midnight played first form?,1984 | 1982 | 1981,1,C) 1981,C,2,0
172,when did the band where Jon Mueller played first form?,1998 | 1997 | 1999,1,B) 1997,B,1,1
173,when did the band where Cam DiNunzio played first form?,1998 | 1999 | 2000,2,A) 1998,A,0,0
174,when did the band where Drew Daniel played first form?,1995 | 1996 | 1997,0,A) 1995,A,0,1
175,when did the band where Tito Jackson played first form?,1983 | 1986 | 1985,2,C),C,2,1
176,when did the band where Jin Takuma played first form?,1986 | 1988 | 1985,0,C),C,2,0
177,when did the band where Sarah Michelle played first form?,2006 | 2008 | 2007,1,C),C,2,0
178,when did the band where Marlon Jackson played first form?,1964 | 1962 | 1965,0,B) 1962,B,1,0
179,when did the band where Krystl played first form?,2017 | 2016 | 2015,0,C) 2015,C,2,0
180,when did the band where Glenn Tilbrook played first form?,1974 | 1972 | 1973,0,C) 1973,C,2,0
181,when did the band where LeToya Luckett played first form?,1989 | 1990 | 1992,1,C) 1992,C,2,0
182,when did the band where Keith Lamb played first form?,1970 | 1973 | 1971,2,C) 1971,C,2,1
183,when did the band where Carl Restivo played first form?,1984 | 1985 | 1983,1,C),C,2,0
184,when did the band where Trilok Gurtu played first form?,1970 | 1971 | 1972,0,A) 1970,A,0,1
185,when did the band where Kim Simmonds played first form?,1965 | 1964 | 1967,0,B) 1964,B,1,0
186,when did the band where Kaspar Boye Larsen played first form?,2001 | 1999 | 2002,0,B) 1999,B,1,0
187,when did the band where Pino Daniele played first form?,1975 | 1973 | 1976,0,B) 1973,B,1,0
188,when did the band where Takagi Bū played first form?,1955 | 1954 | 1956,2,B) 1954,B,1,0
189,when did the band where Lars Emmelthun played first form?,2011 | 2012 | 2010,2,C),C,2,1
190,when did the band where Toby Slater played first form?,1995 | 1997 | 1998,1,B) 1997,B,1,1
191,when did the band where Jaki Liebezeit played first form?,1968 | 1966 | 1967,0,C) 1967,C,2,0
192,when did the band where Vincent Bennett played first form?,2001 | 1999 | 2002,0,B) 1999,B,1,0
193,when did the band where Rachel Ortas played first form?,1987 | 1988 | 1986,2,C),C,2,1
194,when did the band where Stevie Wonder played first form?,1983 | 1984 | 1985,2,A) 1983,A,0,0
195,when did the band where Malcolm Mooney played first form?,1970 | 1968 | 1969,1,C) 1969,C,2,0
196,when did the band where Richard Manuel played first form?,1956 | 1955 | 1957,2,B) 1955,B,1,0
197,when did the band where Irmin Schmidt played first form?,1970 | 1969 | 1968,2,B) 1969,B,1,0
198,when did the band where Ad-Rock played first form?,1993 | 1991 | 1992,1,B) 1991,B,1,1
199,when did the band where Per Lidén played first form?,1997 | 1998 | 1999,2,A) 1997,A,0,0
200,when did the band where Michal Dvořák played first form?,1984 | 1985 | 1987,1,C),C,2,0
201,when did the band where Arnaud Joyet played first form?,1994 | 1996 | 1995,1,C),C,2,0
202,when did the band where Joe Lally played first form?,1987 | 1986 | 1985,0,B) 1986,B,1,0
203,when did the band where Greg Sage played first form?,1977 | 1975 | 1978,0,B) 1975,B,1,0
204,when did the band where Scott Kelly played first form?,1986 | 1987 | 1985,2,C) 1985,C,2,1
205,when did the band where Todd Smith played first form?,2008 | 2007 | 2009,1,B) 2007,B,1,1
206,when did the band where Eugene Chadbourne played first form?,1981 | 1984 | 1982,2,C),C,2,1
207,when did the band where MC Raaka Pee played first form?,2005 | 2004 | 2006,2,B),B,1,0
208,when did the band where Luboš Andršt played first form?,1973 | 1974 | 1971,0,C) 1971,C,2,0
209,when did the band where Joe Amoruso played first form?,1974 | 1975 | 1973,1,C),C,2,0
210,when did the band where Björn Ulvaeus played first form?,1972 | 1974 | 1971,0,C),C,2,0
211,when did the band where Dakota Ringer played first form?,2012 | 2013 | 2015,1,A) 2012,A,0,0
212,when did the band where Tracy G played first form?,1984 | 1985 | 1983,1,C),C,2,0
213,when did the band where Anthony Reynolds played first form?,1993 | 1994 | 1992,2,C) 1992,C,2,1
214,when did the band where Jamie Hooper played first form?,2002 | 2000 | 1999,1,A) 2002,A,0,0
215,when did the band where Colin Petersen played first form?,1968 | 1969 | 1970,2,B) 1969,B,1,0
216,when did the band where Andrew Dost played first form?,2002 | 2001 | 2000,2,A) 2002,A,0,0
217,when did the band where Titó played first form?,1999 | 2000 | 1998,1,C),C,2,0
218,when did the band where Tetsuo Sakurai played first form?,1989 | 1992 | 1990,2,C) 1990,C,2,1
219,when did the band where Marsu played first form?,1980 | 1977 | 1978,2,C),C,2,1
220,when did the band where Blas Cantó Moreno played first form?,2009 | 2011 | 2010,0,C) 2010,C,2,0
221,when did the band where Waylon Jennings played first form?,1985 | 1986 | 1987,0,A) 1985,A,0,1
222,when did the band where Elias Bender Rønnenfelt played first form?,2008 | 2010 | 2009,0,C) 2009,C,2,0
223,when did the band where Dominique Leurquin played first form?,1991 | 1993 | 1994,1,B) 1993,B,1,1
224,when did the band where Anthony D'Juan played first form?,2008 | 2006 | 2009,0,B) 2006,B,1,0
225,when did the band where Cha Katō played first form?,1956 | 1955 | 1958,0,B) 1955,B,1,0
226,when did the band where Clay Tarver played first form?,1987 | 1985 | 1986,0,C) 1986,C,2,0
227,when did the band where Rino Zurzolo played first form?,1973 | 1974 | 1975,2,A) 1973,A,0,0
228,when did the band where Kelly Rowland played first form?,1988 | 1990 | 1991,1,C) 1991,C,2,0
229,when did the band where Billy Kilson played first form?,1975 | 1973 | 1974,0,C),C,2,0
230,when did the band where Marcel Schirmer played first form?,1989 | 1990 | 1991,0,A) 1989,A,0,1
231,when did the band where Billy Kinsley played first form?,1977 | 1976 | 1975,2,B) 1976,B,1,0
232,when did the band where Leisha Hailey played first form?,1993 | 1991 | 1992,1,B) 1991,B,1,1
233,when did the band where Peter Luts played first form?,2007 | 2010 | 2008,2,C),C,2,1
234,when did the band where Jackie Jackson played first form?,1965 | 1964 | 1966,1,B) 1964,B,1,1
235,when did the band where Álvaro Guzmán Gómora played first form?,1967 | 1968 | 1966,1,C) 1966,C,2,0
236,when did the band where Andy Tillison played first form?,2002 | 2004 | 2001,0,C),C,2,0
237,when did the band where Hiroshi Matsuda played first form?,1986 | 1988 | 1985,0,C),C,2,0
238,who is the spouse of the actor that played in To Kill a Mockingbird?,Werner Klemperer | Stanley Kubrick | Werner Krauss,0,A),A,0,1
239,who is the spouse of the actor that played in La storia di un peccato?,Candice King | Carmine Gallone | Jane Fonda,1,B),B,1,1
240,who is the spouse of the actor that played in Don's Plum?,Katy Perry | Romy Schneider | Beck,2,C),C,2,1
241,who is the spouse of the actor that played in What Have You Done to Solange??,Marcello Mastroianni | Peter Lee Lawrence | Brad Paisley,1,B),B,1,1
242,who is the spouse of the actor that played in Olympia?,Emmy Göring | Brad Paisley | Peter Lee Lawrence,0,C),C,2,0
243,who is the spouse of the actor that played in Bunshinsaba?,Georges Duhamel | Emperor Gaozong of Tang | Hideaki Anno,1,C),C,2,0
244,who is the spouse of the actor that played in A Midsummer Night's Dream?,Amitabh Bachchan | Phoebe Cates Kline | Miloš Kopecký,1,B),B,1,1
245,who is the spouse of the actor that played in Cinématon?,Werner Klemperer | Peter DeLuise | Margarethe von Trotta,2,C),C,2,1
246,who is the spouse of the actor that played in Zoolander?,Eric Lobron | Willy Fritsch | Henri Verneuil,0,A) Eric Lobron,A,0,1
247,who is the spouse of the actor that played in Three Girls Spinning?,Gustav von Wangenheim | Akira Kurosawa | Joachim Kerzel,2,C),C,2,1
248,who is the spouse of the actor that played in Friends & Lovers?,Candice King | Matthew Vaughn | Katy Perry,1,B),B,1,1
249,who is the spouse of the actor that played in Sotto le tombe?,Jane Fonda | Carmine Gallone | Beck,1,B),B,1,1
250,who is the spouse of the actor that played in The Blackout?,Matthew Vaughn | Carmine Gallone | Katy Perry,0,A) Matthew Vaughn,A,0,1
251,who is the spouse of the actor that played in One Who Set Forth: Wim Wenders' Early Years?,Jack Hawkins | Václav Havel | Wim Wenders,2,C),C,2,1
252,who is the spouse of the actor that played in Napoléon II l'Aiglon?,Édith Piaf | Katy Perry | Jean-Claude Killy,2,C),C,2,1
253,who is the spouse of the actor that played in Oh My God?,Edgar Selge | Countess Palatine Hedwig Elisabeth of Neuburg | Heidi Klum,2,C),C,2,1
254,who is the spouse of the actor that played in Un garibaldino al convento?,Vittorio De Sica | Dwyane Wade | Louis Malle,0,A,A,0,1
255,who is the spouse of the actor that played in Neo Ned?,Dwyane Wade | Louis Malle | Elsa Bassermann,0,C),C,2,0
256,who is the spouse of the actor that played in La ciudad no es para mí?,Peter Lee Lawrence | Jean-Claude Killy | Brad Paisley,0,A) Peter Lee Lawrence,A,0,1
257,who is the spouse of the actor that played in Out of Sight?,Dwyane Wade | Woody Allen | Marc Anthony,2,A) Dwyane Wade,A,0,0
258,who is the spouse of the actor that played in Birgitt Haas Must Be Killed?,Wim Wenders | Woody Allen | Václav Havel,0,C),C,2,0
259,who is the spouse of the actor that played in Otakus in Love?,Hideaki Anno | Gottfried Böhm | Emperor Gaozong of Tang,0,A),A,0,1
260,who is the spouse of the actor that played in The Ball Player and the Bandit?,Carmine Gallone | Candice King | Matthew Vaughn,1,A),A,0,0
261,who is the spouse of the actor that played in L'Homme au grand manteau?,Hideaki Anno | Georges Duhamel | Emperor Gaozong of Tang,1,B),B,1,1
262,who is the spouse of the actor that played in Mountain Justice?,Candice King | Václav Havel | Jane Fonda,0,C),C,2,0
263,who is the spouse of the actor that played in Aap Ke Liye Hum?,Phoebe Cates Kline | Amitabh Bachchan | Louis Malle,1,B),B,1,1
264,who is the spouse of the actor that played in Husbands or Lovers?,Werner Krauss | Werner Klemperer | Franka Potente,0,B),B,1,0
265,who is the spouse of the actor that played in Emilia Galotti?,Hermann Scherchen | Salvador Dalí | Ingmar Bergman,0,A),A,0,1
266,who is the spouse of the actor that played in The Hit?,Jane Fonda | Candice King | Václav Havel,2,C),C,2,1
267,who is the spouse of the actor that played in Ninety Degrees in the Shade?,Mary Steenburgen | Amitabh Bachchan | Miloš Kopecký,2,C),C,2,1
268,who is the spouse of the actor that played in Una storia milanese?,Brad Paisley | Édith Piaf | Jean-Claude Killy,2,C),C,2,1
269,who is the spouse of the actor that played in Jivin' in Be-Bop?,Vishnu | Joachim Kerzel | Ella Fitzgerald,2,B),B,1,0
270,who is the spouse of the actor that played in Al lupo al lupo?,Vittorio De Sica | Dwyane Wade | Louis Malle,0,A) Vittorio De Sica,A,0,1
271,who is the spouse of the actor that played in Judex?,Brad Paisley | Marcello Mastroianni | Édith Piaf,2,C),C,2,1
272,who is the spouse of the actor that played in Forget the Drums?,Marcello Mastroianni | Jean-Claude Killy | Peter Lee Lawrence,2,C),C,2,1
273,who is the spouse of the actor that played in Blink?,Jane Fonda | Brian Benben | Marlon Brando,1,B),B,1,1
274,who is the spouse of the actor that played in A Royal Hangover?,Romy Schneider | Emmy Göring | Katy Perry,2,A),A,0,0
275,who is the spouse of the actor that played in Fanny and Alexander?,Countess Palatine Hedwig Elisabeth of Neuburg | Ingmar Bergman | Edgar Selge,1,B),B,1,1
276,who is the spouse of the actor that played in The Radio Marriage?,Werner Krauss | Werner Klemperer | Peter DeLuise,0,B),B,1,0
277,who is the spouse of the actor that played in Counterparts?,Joachim Kerzel | Akira Kurosawa | Ella Fitzgerald,0,A,A,0,1
278,who is the spouse of the actor that played in Hostel?,Ella Fitzgerald | Franka Potente | David Denman,1,B),B,1,1
279,who is the spouse of the actor that played in A Doll Wife?,Matthew Vaughn | Carmine Gallone | Romy Schneider,1,C),C,2,0
280,who is the spouse of the actor that played in Escape from Sahara?,Carmine Gallone | Emmy Göring | Romy Schneider,2,C),C,2,1
281,who is the spouse of the actor that played in Sweet Kitty Bellairs?,Candice King | Romy Schneider | Carmine Gallone,0,B),B,1,0
282,who is the spouse of the actor that played in Stimulantia?,Countess Palatine Hedwig Elisabeth of Neuburg | Hermann Scherchen | Ingmar Bergman,2,C),C,2,1
283,who is the spouse of the actor that played in The World Is Not Enough?,Ella Fitzgerald | Gustav von Wangenheim | Edgar Selge,0,B) Gustav von Wangenheim,B,1,0
