index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
70,what has a subevent of masturbate and has a subevent of laugh,watching television | having shower | expressing how funny,0,C),C,2,0
71,what is usually located at house and is part of cave,stalactite | wall | uncle,1,A,A,0,0
72,what usually used for entertainment and has a subevent of use search engine,surfing web | performing | finding information,0,A) surfing web,A,0,1
73,what is usually located at pocket and usually used for drinking,pen | saloon | flask,2,C,C,2,1
74,what is part of motor vehicle and is part of organ,piano keyboard | pedal | cooling system,1,B,B,1,1
75,what is part of organ and is part of bicycle,pedal | mudguard | lobe,0,A,A,0,1
76,what is motivated by a goal of relax and has a prerequisite of get into car,go to store | soak in hotspring | go for drive,2,C),C,2,1
77,what is usually located at television and is usually located at newspaper,game shows | text | cartoons,2,B),B,1,0
78,what may cause having good time and has a prerequisite of attention,watching movie | going to pub | memorising,0,C,C,2,0
79,what may cause entertainment and has a prerequisite of time,watching movie | reading magazine | taking break,0,A,A,0,1
80,what may cause laugh and has a subevent of falling asleep,reading book | seeing favorite show | watching movie,2,B),B,1,0
81,what may cause laugh and has a prerequisite of time,watching movie | seeing favorite show | having lunch,0,A,A,0,1
82,what has a subevent of fall asleep and has a prerequisite of buying ticket,taking in film | using television | watching movie,2,C),C,2,1
83,what has a subevent of falling asleep and has a prerequisite of buying ticket,watching movie | seeing band | resting,0,C),C,2,0
84,what has a subevent of falling asleep and has a prerequisite of time,watching movie | sitting on chair | waiting in line,0,A,A,0,1
85,what has a prerequisite of buying ticket and has a prerequisite of time,seeing band | watching movie | having lunch,1,B),B,1,1
86,what is related to pure and has a subevent of dust furniture,doing housework | processed | clean,2,C),C,2,1
87,what is related to pure and is related to tidy,clean | groomed | processed,0,C,C,2,0
88,what has a subevent of use soap and is related to decent,clean | modest | bathing,0,C),C,2,0
89,what is related to size and is related to good,large | fit | moral,1,B,B,1,1
90,what is related to good and is related to shape,fit | hexagon | obedient,0,A,A,0,1
91,what is related to healthy and is related to exercise,power walk | wholesome | fit,2,C),C,2,1
92,what is usually located at hospital and is usually located at cabinet,power screwdriver | nurses | medicine,2,C),C,2,1
93,what is part of zimbabwe and is part of texas,lubbock | bulawayo | victoria,2,B,B,1,0
94,what is part of zambia and is part of british columbia,zambezi | pacific northwest | victoria,2,C),C,2,1
95,what is part of zambia and is part of texas,victoria | austin | zambezi,0,C),C,2,0
96,what is part of australia and is part of texas,victoria | tasmania | san antonio,0,B),B,1,0
97,what is usually located at toy store and is usually located at garage,wagon | board games | pail,0,A,A,0,1
98,what has a subevent of shake hands and may cause happiness,reach tentative agreement | seeing idea become reality | meeting friend,2,C),C,2,1
99,what is usually located at cellar and is usually located at petstore,ferret | rats | wine bottle,1,C,C,2,0
100,what is usually located at cellar and is capable of spread disease,mosquitoes | wine bottle | rats,2,C,C,2,1
101,what is usually located at petstore and is capable of spread disease,germs | ferret | rats,2,A,A,0,0
102,what is the opposite of lose and is related to locate,find | gain | location,0,A) find,A,0,1
103,what usually used for having fun and has a subevent of get wet,going to film | walking in rain | surfing,2,C),C,2,1
104,what is related to deny and is usually located at dump,trash | denial | refuse,2,A) trash,A,0,0
105,what may cause learning and has a subevent of fall asleep,attending school | having rest | reading book,2,B),B,1,0
106,what may cause learning and has a property of fun,sports | memorising | reading book,2,A,A,0,0
107,what has a subevent of falling asleep and may cause learn,resting | reading book | teaching other people,1,A,A,0,0
108,what may cause learn and has a subevent of fall asleep,watching tv | teaching other people | reading book,2,A,A,0,0
109,what has a subevent of fall asleep and has a property of fun,reading book | resting | table tennis,0,C,C,2,0
110,what has a subevent of learning and may cause entertained,going to movie | examine thing | seeing story,2,B) examine thing,B,1,0
111,what is part of electromagnetic spectrum and is usually located at attic,medium frequency | insulation | light,2,A),A,0,0
112,what may cause death and may cause sometimes bad,coffin | living | changing society,1,B),B,1,1
113,what is part of oregon and is part of massachusetts,salem | pacific northwest | berkshires,0,C),C,2,0
114,what is part of oregon and is part of india,portland | hindustan | salem,2,B),B,1,0
115,what is part of massachusetts and is part of india,salem | bangalore | concord,0,B),B,1,0
116,what has a subevent of dust furniture and usually used for exercise,clean | climbing mountain | doing housework,2,C),C,2,1
117,what is usually located at hockey game and is capable of time races,stopwatches | referees | fan,1,A,A,0,0
118,what is related to behavior and is related to smoking,manners | habit | tobacco,1,B),B,1,1
119,what is related to behavior and is related to nun,monk | habit | manners,1,B) habit,B,1,1
120,what is related to action and is related to nun,habit | wash | monk,0,C,C,2,0
121,what is related to smoking and is related to nun,tobacco | monk | habit,2,C) habit,C,2,1
122,what is related to smoking and is related to bad,habit | danger | cigarette,0,A),A,0,1
123,what is related to nun and is related to addiction,habit | monk | addictive,0,B),B,1,0
124,what is related to nun and is related to bad,habit | disobedient | monk,0,A,A,0,1
125,what usually used for getting revenge and may cause sadness,hurting else | hearing news | punching,0,A,A,0,1
126,what has a subevent of dying and has a subevent of breaking leg,jumping out of window | ski | fight war,0,C),C,2,0
127,what usually used for preventing pregnancy and is usually located at sock drawer,condom | socks and underwear | contraceptive,0,A),A,0,1
128,what usually used for protection and is usually located at pharmacy,condom | lock | dandruff shampoo,0,A,A,0,1
129,what has a prerequisite of get money and has a prerequisite of hungry,buy presents | buy hamburger | have lunch,1,B),B,1,1
130,what has a prerequisite of earn money and has a subevent of eat,pay cash | buy hamburger | cooking meal,1,B),B,1,1
131,what usually used for celebrating birthday and usually used for eating,baking cake | meat | giving gift,0,A,A,0,1
132,what has a subevent of comb hair and usually used for paying bills,going to work | cheque book | groom,0,B),B,1,0
133,what has a subevent of comb hair and usually used for earning living,getting job | going to work | groom,1,C) groom,C,2,0
134,what is related to love and may cause scandal,affair | going public | eros,0,A,A,0,1
135,what is related to broken and is related to solution,injured | fix | answer,1,B),B,1,1
136,what has a prerequisite of have money and is motivated by a goal of happy,buy for loved one | sing | shop,0,C),C,2,0
137,what has a prerequisite of go to store and is motivated by a goal of express love,buy food | buy for loved one | kiss,1,B),B,1,1
138,what has a subevent of laugh and has a subevent of go to bathroom,going to movie | expressing how funny | waiting on line,0,B),B,1,0
139,what is related to asking and causes desire of find information,false charges | question | please,1,B),B,1,1
140,what has a prerequisite of voice and is usually located at opera,talking to | singing | costumes,1,B) singing,B,1,1
141,what is usually located at opera and may cause sore throat,yelling | orchestra | singing,2,C) singing,C,2,1
142,what has a subevent of shake hands and has a subevent of solution,meeting friend | reaching tentative agreement | giving clue,1,B),B,1,1
143,what is usually located at den and usually used for sitting in,bean bag chair | weasel | airplane seat,0,A,A,0,1
144,what is usually located at den and usually used for relaxation,bean bag chair | weasel | becoming inebriated,0,A,A,0,1
145,what is usually located at den and usually used for sit in,bean bag chair | hairdresser chair | weasel,0,A,A,0,1
146,what is usually located at den and usually used for relaxing,bean bag chair | listening music | weasel,0,A,A,0,1
147,what usually used for relaxation and usually used for sit in,orchestra seat | diving | bean bag chair,2,C),C,2,1
148,what usually used for transportation and usually used for competition,riding bicycle | bus | playing sports,0,A,A,0,1
149,what has a subevent of falling off and usually used for competition,sitting on chair | playing sports | riding bicycle,2,C),C,2,1
150,what is related to unreasonable and is related to intense,intensify | illogical | immoderate,2,C),C,2,1
151,what is related to unlawful and is related to coiled,rounded | illegal | crooked,2,B),B,1,0
152,what is related to dishonest and is related to coiled,rounded | untruthful | crooked,2,B) untruthful,B,1,0
153,what is usually located at television and has a prerequisite of have computer,music videos | surf web | program,2,C) program,C,2,1
154,what is motivated by a goal of know and has a prerequisite of turn on tv,hear news | use television | determine truth,0,C),C,2,0
155,what has a prerequisite of have violin and is related to country,republic | play violin | fiddle,2,C),C,2,1
156,what is related to country and is usually located at music store,republic | tuning fork | fiddle,2,C,C,2,1
157,what is usually located at hockey game and is capable of time race,referee | hockey fans | stopwatch,0,C) stopwatch,C,2,0
158,what is related to result and is related to president,answer | elect | bush,1,C,C,2,0
159,what usually used for challenge and has a subevent of lose,playing game of chess | buy small | climbing mountain,0,A,A,0,1
160,what is usually located at yard and has a property of green,peppers | wiener dog | lawn,2,C),C,2,1
161,what is usually located at fridge and is usually located at laboratory,sour cream | test equipment | fungus,2,B,B,1,0
162,what is motivated by a goal of cool off and has a subevent of have sex,walk in rain | get wet | procreating,1,C),C,2,0
163,what has a subevent of have sex and has a prerequisite of remove clothes,start family | get wet | wash clothes,1,C,C,2,0
164,what may cause good feelings and has a subevent of choke,eating quickly | laughing at joke | thanking,1,C,C,2,0
165,what usually used for being polite and has a subevent of choke,laughing at joke | thanking | breathing,0,B),B,1,0
166,what usually used for transportation and has a prerequisite of practice,riding bike | ferry | playing piano,0,A,A,0,1
167,what has a prerequisite of practice and may cause falling down,losing consciousness | riding bike | play guitar,1,B),B,1,1
168,what has a prerequisite of practice and may cause fall,losing consciousness | riding bike | play violin,1,B),B,1,1
169,what may cause falling down and usually used for having fun,losing consciousness | riding bike | going to film,1,B),B,1,1
170,what is motivated by a goal of have sex and has a subevent of make eye contact,open legs | flirt | talking to,1,B),B,1,1
171,what is motivated by a goal of have sex and has a subevent of smile,flirt | thanking | open legs,0,A),A,0,1
172,what is usually located at airport and is usually located at mall,food court | customs officer | parking lot,2,C),C,2,1
173,what may cause win and has a subevent of death,destroying enemy | reaching advantage | live life,0,A,A,0,1
174,what is usually located at bus and causes desire of watch film,steering wheel | advertisement | boredom,1,B),B,1,1
175,what is usually located at bus and is usually located at mail,steering wheel | packages | advertisement,2,B) packages,B,1,0
176,what has a subevent of dying and may cause sorrow,writing letter | committing suicide | jumping out of window,1,B),B,1,1
177,what is related to door and is part of rifle,pump action | bolt | entrance,1,B),B,1,1
178,what is related to divine and is part of rhode island,god | providence | brown university,1,B) providence,B,1,1
179,what is related to god and is part of rhode island,deity | providence | narragansett bay,1,B) providence,B,1,1
180,what usually used for entertainment and may cause injuries,enjoying film | playing sports | falling,1,B),B,1,1
181,what may cause sweating and has a subevent of winning,playing sports | dancing samba | competing,0,C) competing,C,2,0
182,what has a subevent of running and usually used for enjoyment,living | playing sports | getting fit,1,B),B,1,1
183,what is usually located at airport and is capable of board ship,pirate | passenger | check in counter,1,C) check in counter,C,2,0
184,what is usually located at backseat of car and is capable of board ship,passenger | seatbelt | sailor,0,A,A,0,1
185,what is motivated by a goal of have fun and has a subevent of fall over,tying shoelace | ski | play cards,1,B),B,1,1
186,what has a prerequisite of thought and usually used for expressing love,writing poem | cogitating | kissing,0,C),C,2,0
187,what has a prerequisite of read and has a prerequisite of travel,go on vacation | memorize | learn about world,2,C),C,2,1
188,what has a prerequisite of read book and has a prerequisite of travel,learn new | learn about world | visit other countries,1,C),C,2,0
189,what usually used for music and is usually located at laboratory,bass fiddle | instrument | robot,1,B),B,1,1
190,what is related to music and is usually located at case,instrument | eyeglasses | composer,0,A) instrument,A,0,1
191,what is related to music and is usually located at laboratory,experiment | band | instrument,2,C) instrument,C,2,1
192,what is usually located at dentist and is usually located at airport,airline representatives | waiting room | have cavity,1,B),B,1,1
193,what is usually located at doctor and is usually located at airport,grumpy delayed passengers | waiting room | examination table,1,C) examination table,C,2,0
194,what is usually located at airport and is usually located at doctor's office,ticket agent | waiting room | examination table,1,B),B,1,1
195,what may cause relaxation and has a prerequisite of legs,enjoying day | taking walk | running after ball,1,B),B,1,1
196,what may cause death and usually used for judges,hearing testimony | having asthma attack | deciding criminal s fate,2,C) deciding criminal s fate,C,2,1
197,what usually used for sport and has a subevent of get hurt,wrestling | tennis game | being involved in accident,0,A,A,0,1
198,what is usually located at theatre and is capable of marry each other,movies | second cousins | couple,2,C) couple,C,2,1
199,what has a subevent of think about and has a prerequisite of call friend,analyse | go to pub | chat with friends,2,C),C,2,1
200,what usually used for buying things and usually used for good time,having friends over | going to mall | store,1,B),B,1,1
201,what has a prerequisite of courage and may cause fight,punching | committing suicide | advancing into battle,2,C),C,2,1
202,what may cause get fat and may cause entertainment,diminishing own hunger | watching tv | reading magazine,1,B),B,1,1
203,what usually used for eating and is usually located at mall,parking lots | cooking curry | restaurant dining area,2,C),C,2,1
204,what has a prerequisite of go to doctor and has a prerequisite of join army,fight enemy | have physical exam | make sure you're healthy,1,B),B,1,1
205,what has a prerequisite of make appointment with doctor and has a prerequisite of join army,fight enemy | have physical exam | have checkup,1,B),B,1,1
206,what has a prerequisite of join army and has a prerequisite of go see doctor,make sure you're healthy | fight enemy | have physical exam,2,C),C,2,1
207,what usually used for fun and usually used for learning,going on internet | finding information | going see film,0,C),C,2,0
208,what has a subevent of write down and has a prerequisite of have imagination,pretend | create idea | computing sum,1,B),B,1,1
209,what has a last subevent of bow and has a subevent of open mouth,talk | sing | perform,1,A,A,0,0
210,what is motivated by a goal of enjoyable and has a subevent of learning,have fun | read book | seeing artifacts,1,A,A,0,0
211,what has a subevent of pain and usually used for fun,fishing | having heart attack | exercising,2,C) exercising,C,2,1
212,what usually used for feeling good and usually used for getting in shape,becoming inebriated | exercising | going for jog,1,B) exercising,B,1,1
213,what has a subevent of run and has a subevent of lift weights,play baseball | exercising | test strength,1,C),C,2,0
214,what has a subevent of use imagination and has a subevent of act,pretend | go on stage | write story,0,A,A,0,1
215,what has a subevent of act and has a prerequisite of use imagination,performing | pretend | write story,1,C,C,2,0
216,what has a prerequisite of paying attention and has a subevent of laughing,attending lecture | enjoying film | having fun,1,B),B,1,1
217,what has a prerequisite of paying attention and may cause happiness,attending lecture | buying presents for others | enjoying film,2,C),C,2,1
218,what is motivated by a goal of relax and has a prerequisite of buy ticket,sit on chair | enjoy film | see favorite show,1,C),C,2,0
219,what is motivated by a goal of relax and has a prerequisite of buy tickets,see favorite show | watch television | enjoy film,2,A,A,0,0
220,what has a property of red and is usually located at refrigerator,tomatoes | moldy food | flowers,0,A,A,0,1
221,what has a property of red and is usually located at market,tomatoes | vegetables | ruby,0,A,A,0,1
222,what has a subevent of try to win and is motivated by a goal of bored,play games | watch television | competing,0,C),C,2,0
223,what has a subevent of lose and has a subevent of have fun,play games | buy small | enjoy day,0,A),A,0,1
224,what is motivated by a goal of bored and is motivated by a goal of win,use television | play games | conquer opponent,1,C),C,2,0
225,what usually used for partying and may cause sickness,listening to music | poisoning | drinking alcohol,2,C,C,2,1
226,what usually used for storing clothes and is usually located at city,clothing shelf | skyscraper | bureau,2,C),C,2,1
227,what usually used for entertainment and has a subevent of brainstorming,creating idea | watching film | writing story,2,B) watching film,B,1,0
228,what has a property of green and is usually located at supermarket,vegetables | friendly grocer | lawn,0,A,A,0,1
229,what has a property of green and is usually located at market,vegetables | shopping carts | parakeets,0,A,A,0,1
230,what may cause smile and has a subevent of take nap,run out of steam | enjoying day | thanking,1,A,A,0,0
231,what may cause smile and has a subevent of relax,take break | thanking | enjoying day,2,A,A,0,0
232,what may cause happiness and may cause relaxation,buying presents for others | breathing | enjoying day,2,C,C,2,1
233,what has a subevent of relax and has a subevent of smile,go on vacation | enjoying day | see favorite show,1,B),B,1,1
234,what is usually located at drug store and is usually located at bedroom,acne medication | birth control pill | pillowcase,1,B,B,1,1
235,what has a prerequisite of get out of bed and is motivated by a goal of money,wake up in morning | return to work | earn living,1,C),C,2,0
236,what has a prerequisite of pick up and has a subevent of learning,take phone call | seeing story | examine thing,2,C),C,2,1
237,what is related to conclusive and is part of narration,decisive | introduction | conclusion,2,C,C,2,1
238,what is usually located at trunk and is related to shirt,blouse | spare tire | clothing,2,B),B,1,0
239,what is related to shirt and is usually located at shop,jersey | clothing | items for sale,1,A) jersey,A,0,0
240,what may cause feeling good and has a prerequisite of soap and water,washing car | attending classical concert | getting clean,2,C),C,2,1
241,what usually used for travelling and is usually located at garage,automobile | tools | passenger ticket,0,A,A,0,1
242,what has a subevent of masturbate and has a prerequisite of soap and water,going to sleep | having shower | washing car,1,B),B,1,1
243,what has a subevent of masturbate and has a prerequisite of water and soap,cleaning clothing | going to sleep | having shower,2,C),C,2,1
244,what has a subevent of masturbate and usually used for cleanliness,watching television | having shower | doing housework,1,B),B,1,1
245,what is usually located at london and is usually located at library,underground map | telephone box | volume,0,B,B,1,0
246,what is usually located at subway and is usually located at library,underground map | card catalogue | dirt,0,A,A,0,1
247,what is related to stars and is related to after,galaxy | night | next,1,B) night,B,1,1
248,what may cause joy and has a prerequisite of fingers,playing piano | hearing music | typing,0,A,A,0,1
249,what has a prerequisite of fingers and has a subevent of sit,typing | take in film | playing piano,2,C,C,2,1
250,what is related to religion and is related to have,neo druidism | believe | hold,1,B),B,1,1
251,what may cause happiness and usually used for competition,riding bicycle | loving else | playing game,2,C) playing game,C,2,1
252,what usually used for winning and usually used for learning,playing game | conquering opponent | classroom,0,C),C,2,0
253,what has a subevent of winning and usually used for entertainment,movie | playing game | reach advantage,1,A,A,0,0
254,what has a subevent of lose and usually used for learning,playing game | attending school | competing,0,B),B,1,0
255,what has a subevent of lose and usually used for enjoyment,going on vacation | buy small | playing game,2,C),C,2,1
256,what usually used for learning and may cause winning,playing game | playing baseball | digital library,0,A,A,0,1
257,what usually used for entertainment and has a subevent of think,painting picture | doing crossword puzzle | create idea,1,B),B,1,1
258,what has a subevent of get wet and is motivated by a goal of get fit,go for swim | play sports | dive,0,A,A,0,1
259,what has a prerequisite of take off clothes and has a prerequisite of go to swimming pool,get clean | go for swim | dive,1,B),B,1,1
260,what may cause win and usually used for relaxing,going on vacation | playing | destroying enemy,1,A,A,0,0
261,what has a subevent of laugh and may cause getting tired,running | playing | expressing how funny,1,C,C,2,0
262,what has a subevent of laugh and may cause winning,competing against | enjoy film | playing,2,C) playing,C,2,1
263,what may cause injuries and usually used for fun,playing | entertaining people | car accident,0,A,A,0,1
264,what usually used for relaxing and may cause winning,playing | competing against | going on vacation,0,C),C,2,0
265,what usually used for relaxing and has a property of fun,rollercoaster | breathing fresh air | playing,2,C),C,2,1
266,what usually used for work and is capable of add numbers,computers | machinery | numerate,0,A,A,0,1
267,what is capable of add numbers and has a property of expensive,computers | mathematicians | insurance,0,A,A,0,1
268,what is usually located at library and has a property of expensive,student | computers | insurance,1,B),B,1,1
269,what has a prerequisite of fingers and may cause communication,playing harp | sending e mail | typing,2,C),C,2,1
270,what is related to impermeable and is related to tense,agitated | impervious | tight,2,B),B,1,0
271,what usually used for fun and has a subevent of ejaculate,playing hockey | copulating | procreating,1,B),B,1,1
272,what is usually located at porch and is usually located at post office,mailbox | postal worker | railing,0,A),A,0,1
273,what is part of transistor and is related to collection,treasury | emitter | collector,2,C),C,2,1
274,what is related to nomenclature and is related to call,name | nomenclator | telephone line,0,A,A,0,1
275,what is related to title and is related to call,duke | telephone line | name,2,C),C,2,1
276,what is related to perfect and is related to literal,unblemished | exact | unrhetorical,1,B) exact,B,1,1
277,what is usually located at restaurant and is usually located at backyard,bbq | silverware | swimming pool,0,A,A,0,1
278,what usually used for catching fish and has a prerequisite of water,fishing | net | having shower,0,A,A,0,1
279,what has a prerequisite of water and usually used for fun,fishing | washing hands | seeing people play game,0,A,A,0,1
280,what usually used for exercise and may cause injuries,car accident | playing basketball | hiking,1,B),B,1,1
281,what may cause injuries and may cause having fun,falling | going to party | playing basketball,2,C),C,2,1
282,what is usually located at military base and is usually located at city,medic | runway | condo,1,B),B,1,1
283,what has a prerequisite of patience and usually used for doing research,learning about subject | sitting quietly | going on internet,0,B),B,1,0
284,what is usually located at bookstore and is usually located at backpack,camping supplies | bookmarkers | notebook,2,C),C,2,1
285,what is usually located at bookstore and is usually located at class,notebook | demonstration | bookmarkers,0,C),C,2,0
286,what is usually located at backpack and is usually located at class,compass | demonstration | notebook,2,C,C,2,1
287,what usually used for fun and has a subevent of close eyes,kissing | praying | discothque,0,C),C,2,0
288,what may cause love and has a subevent of close eyes,going into trance | kissing | meeting girls,1,B) kissing,B,1,1
289,what is part of appendicular skeleton and is part of tree,pectoral girdle | bark | limb,2,C) limb,C,2,1
290,what may cause eat and has a subevent of read,see exciting story | feed | following recipe,2,C),C,2,1
291,what may cause dinner and has a subevent of read,following recipe | cooking meal | seeing story,0,B) cooking meal,B,1,0
292,what has a subevent of whistle and has a prerequisite of time,having pee | waiting in line | having lunch,1,A,A,0,0
293,what usually used for buying tickets and has a subevent of talking,waiting in line | communicating | ticket office,0,C),C,2,0
294,what is related to result and is usually located at store,shopping basket | answer | product,2,B),B,1,0
295,what is usually located at city and is usually located at university,buildings | bus station | students,0,A,A,0,1
296,what is usually located at university and has windows,education | buildings | cars,1,B) buildings,B,1,1
297,what has a prerequisite of join army and has a prerequisite of weapon,commit murder | have physical exam | fight enemy,2,C),C,2,1
298,what has a last subevent of stop talking and has a subevent of remember,memorize | have conversation | tell story,2,B),B,1,0
299,what has a subevent of tell lie and has a subevent of hold attention,entertaining | committing perjury | tell story,2,C),C,2,1
300,what has a subevent of tell lie and has a subevent of entertain,seeing movie | committing perjury | tell story,2,C),C,2,1
301,what usually used for making music and has a prerequisite of fingers,typing | playing harp | bagpipes,1,B),B,1,1
302,what usually used for making music and usually used for having fun,percussion instrument | riding bike | playing harp,2,A,A,0,0
303,what has a prerequisite of internet connection and usually used for entertainment,surfing net | playing chess | sending e mail,0,A,A,0,1
304,what has a subevent of ask question and has a subevent of laughing,determining truth | enjoying film | talking,2,C),C,2,1
305,what has a subevent of ask question and has a prerequisite of mouth,eating vegetables | determining truth | talking,2,C),C,2,1
306,what has a subevent of ask question and may cause sore throat,talking | singing | determining truth,0,A) talking,A,0,1
307,what has a subevent of close eyes and has a prerequisite of faith,sneeze | praying | belief in god,1,B),B,1,1
