index,stem,choices,gold_label,model_reply,extracted_key,predicted_label,correct
0,A entellus and a basset are both a type of [MASK] ,mammal | primate | dog,0,C),C,2,0
35,A vervet and a pooch are both a type of [MASK] ,dog | primate | mammal,2,C) mammal,C,2,1
36,A hominoid and a mastiff are both a type of [MASK] ,dog | primate | mammal,2,C) mammal,C,2,1
37,A brocket and a howler monkey are both a type of [MASK] ,mammal | deer | primate,0,C) primate,C,2,0
38,A pooch and a anthropoid are both a type of [MASK] ,primate | mammal | dog,1,C) dog,C,2,0
39,A cocker spaniel and a tarsier are both a type of [MASK] ,dog | mammal | primate,1,A) dog,A,0,0
40,A setter and a anthropoid are both a type of [MASK] ,mammal | primate | dog,0,B),B,1,0
41,A borzoi and a marmoset are both a type of [MASK] ,primate | dog | mammal,2,C) mammal,C,2,1
42,A kelpie and a tarsier are both a type of [MASK] ,dog | primate | mammal,2,A) dog,A,0,0
43,A anthropoid and a schnauzer are both a type of [MASK] ,mammal | dog | primate,0,B) dog,B,1,0
44,A mastiff and a howler monkey are both a type of [MASK] ,mammal | dog | primate,0,A) mammal,A,0,1
45,A schnauzer and a howler monkey are both a type of [MASK] ,dog | primate | mammal,2,A) dog,A,0,0
46,A dalmatian and a beef are both a type of [MASK] ,food | mammal | dog,1,C) dog,C,2,0
47,A muntjac and a poodle are both a type of [MASK] ,deer | mammal | dog,1,C) dog,C,2,0
48,A wolfhound and a homo are both a type of [MASK] ,dog | primate | mammal,2,A) dog,A,0,0
49,A otter and a corgi are both a type of [MASK] ,mammal | substance | dog,0,A) mammal,A,0,1
50,A pricket and a poodle are both a type of [MASK] ,mammal | dog | deer,0,B) dog,B,1,0
51,A macaque and a corgi are both a type of [MASK] ,primate | dog | mammal,2,C,C,2,1
52,A elk and a poodle are both a type of [MASK] ,dog | mammal | deer,1,A),A,0,0
53,A corgi and a raccoon are both a type of [MASK] ,mammal | dog | substance,0,A) mammal,A,0,1
54,A pug and a roebuck are both a type of [MASK] ,mammal | deer | dog,0,A) mammal,A,0,1
55,A tarsier and a collie are both a type of [MASK] ,dog | mammal | primate,1,B) mammal,B,1,1
56,A roebuck and a beef are both a type of [MASK] ,deer | mammal | meat,1,A) deer,A,0,0
57,A foxhound and a caribou are both a type of [MASK] ,dog | mammal | deer,1,B) mammal,B,1,1
58,A poodle and a ape are both a type of [MASK] ,primate | dog | mammal,2,B) dog,B,1,0
59,A drill and a caribou are both a type of [MASK] ,primate | mammal | deer,1,B) mammal,B,1,1
60,A hominid and a beef are both a type of [MASK] ,food | mammal | primate,1,C) primate,C,2,0
61,A caribou and a chamois are both a type of [MASK] ,mammal | deer | substance,0,A) mammal,A,0,1
62,A silverback and a beef are both a type of [MASK] ,mammal | primate | food,0,A) mammal,A,0,1
63,A beef and a chimpanzee are both a type of [MASK] ,primate | mammal | meat,1,B) mammal,B,1,1
64,A spaniel and a homo are both a type of [MASK] ,mammal | dog | primate,0,A) mammal,A,0,1
65,A beagle and a ape are both a type of [MASK] ,mammal | dog | primate,0,A) mammal,A,0,1
66,A collie and a marmoset are both a type of [MASK] ,primate | dog | mammal,2,B) dog,B,1,0
67,A baboon and a buckskin are both a type of [MASK] ,primate | substance | mammal,2,C) mammal,C,2,1
68,A buckskin and a fawn are both a type of [MASK] ,mammal | deer | substance,0,B) deer,B,1,0
69,A marmoset and a terrier are both a type of [MASK] ,dog | primate | mammal,2,C) mammal,C,2,1
70,A terrier and a fawn are both a type of [MASK] ,dog | mammal | deer,1,A) dog,A,0,0
71,A barbet and a poultry are both a type of [MASK] ,bird | animal | meat,0,A) bird,A,0,1
72,A eagle and a poultry are both a type of [MASK] ,meat | organism | bird,2,C) bird,C,2,1
73,A myna and a poultry are both a type of [MASK] ,animal | bird | food,1,B) bird,B,1,1
74,A redstart and a poultry are both a type of [MASK] ,animal | bird | meat,1,B) bird,B,1,1
75,A guan and a poultry are both a type of [MASK] ,bird | organism | food,0,A) bird,A,0,1
76,A cedar waxwing and a poultry are both a type of [MASK] ,food | bird | organism,1,B) bird,B,1,1
77,A guillemot and a poultry are both a type of [MASK] ,meat | organism | bird,2,C) bird,C,2,1
78,A domestic fowl and a poultry are both a type of [MASK] ,bird | meat | organism,0,A) bird,A,0,1
79,A poultry and a skua are both a type of [MASK] ,animal | bird | meat,1,B) bird,B,1,1
80,A skua and a wildfowl are both a type of [MASK] ,organism | bird | meat,1,B) bird,B,1,1
81,A parakeet and a marabou are both a type of [MASK] ,parrot | bird | substance,1,A) parrot,A,0,0
82,A solitaire and a wildfowl are both a type of [MASK] ,organism | meat | bird,2,C) bird,C,2,1
83,A moorcock and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A) bird,A,0,1
84,A linnet and a budgerigar are both a type of [MASK] ,parrot | bird | finch,1,C) finch,C,2,0
85,A hoopoe and a wildfowl are both a type of [MASK] ,bird | organism | food,0,A) bird,A,0,1
86,A budgerigar and a chicken are both a type of [MASK] ,meat | bird | parrot,1,B) bird,B,1,1
87,A scoter and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A) bird,A,0,1
88,A shoveler and a chicken are both a type of [MASK] ,duck | food | bird,2,C) bird,C,2,1
89,A chicken and a bufflehead are both a type of [MASK] ,bird | duck | food,0,A) bird,A,0,1
90,A archaeopteryx and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B) bird,B,1,1
91,A brant and a wildfowl are both a type of [MASK] ,food | animal | bird,2,C) bird,C,2,1
92,A siskin and a grouse are both a type of [MASK] ,finch | meat | bird,2,C) bird,C,2,1
93,A marabou and a mamo are both a type of [MASK] ,substance | finch | bird,2,C) bird,C,2,1
94,A rhea and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A) bird,A,0,1
95,A ern and a wildfowl are both a type of [MASK] ,animal | bird | food,1,B) bird,B,1,1
96,A bobolink and a wildfowl are both a type of [MASK] ,organism | meat | bird,2,C) bird,C,2,1
97,A redpoll and a scaup are both a type of [MASK] ,duck | bird | finch,1,A) duck,A,0,0
98,A serin and a merganser are both a type of [MASK] ,finch | bird | duck,1,B) bird,B,1,1
99,A scaup and a grouse are both a type of [MASK] ,food | bird | duck,1,B) bird,B,1,1
100,A gallinule and a wildfowl are both a type of [MASK] ,food | bird | organism,1,B) bird,B,1,1
101,A solan and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B) bird,B,1,1
102,A kea and a merganser are both a type of [MASK] ,duck | parrot | bird,2,C) bird,C,2,1
103,A wheatear and a wildfowl are both a type of [MASK] ,bird | meat | animal,0,A) bird,A,0,1
104,A titmouse and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A) bird,A,0,1
105,A jackdaw and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B) bird,B,1,1
106,A killdeer and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A) bird,A,0,1
107,A jungle fowl and a wildfowl are both a type of [MASK] ,animal | meat | bird,2,C) bird,C,2,1
108,A merganser and a towhee are both a type of [MASK] ,bird | duck | finch,0,A) bird,A,0,1
109,A auklet and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A) bird,A,0,1
110,A verdin and a wildfowl are both a type of [MASK] ,food | organism | bird,2,C) bird,C,2,1
111,A pochard and a capon are both a type of [MASK] ,duck | food | bird,2,A) duck,A,0,0
112,A veery and a wildfowl are both a type of [MASK] ,bird | food | animal,0,A) bird,A,0,1
113,A tody and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B) bird,B,1,1
114,A albatross and a wildfowl are both a type of [MASK] ,meat | bird | animal,1,B) bird,B,1,1
115,A bufflehead and a wildfowl are both a type of [MASK] ,food | duck | bird,2,C) bird,C,2,1
116,A pitta and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B) bird,B,1,1
117,A turnstone and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A) bird,A,0,1
118,A grosbeak and a wildfowl are both a type of [MASK] ,finch | food | bird,2,C) bird,C,2,1
119,A pipit and a wildfowl are both a type of [MASK] ,animal | bird | meat,1,B) bird,B,1,1
120,A kinglet and a wildfowl are both a type of [MASK] ,food | bird | animal,1,B) bird,B,1,1
121,A capon and a mamo are both a type of [MASK] ,bird | finch | food,0,A) bird,A,0,1
122,A waterfowl and a wildfowl are both a type of [MASK] ,bird | animal | food,0,A) bird,A,0,1
123,A mamo and a wildfowl are both a type of [MASK] ,animal | bird | meat,1,B) bird,B,1,1
124,A towhee and a mallard are both a type of [MASK] ,finch | bird | duck,1,C) duck,C,2,0
125,A whooping crane and a wildfowl are both a type of [MASK] ,meat | organism | bird,2,C) bird,C,2,1
126,A wagtail and a wildfowl are both a type of [MASK] ,bird | food | organism,0,A) bird,A,0,1
127,A grouse and a old squaw are both a type of [MASK] ,duck | bird | food,1,B) bird,B,1,1
128,A meadowlark and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B) bird,B,1,1
129,A scarlet tanager and a wildfowl are both a type of [MASK] ,organism | food | bird,2,C) bird,C,2,1
130,A mallard and a wildfowl are both a type of [MASK] ,meat | duck | bird,2,B) duck,B,1,0
131,A peregrine and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A) bird,A,0,1
132,A oystercatcher and a wildfowl are both a type of [MASK] ,bird | organism | meat,0,A) bird,A,0,1
133,A hen and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B) bird,B,1,1
134,A chick and a wildfowl are both a type of [MASK] ,food | bird | organism,1,B) bird,B,1,1
135,A peafowl and a wildfowl are both a type of [MASK] ,bird | meat | animal,0,A) bird,A,0,1
136,A osprey and a wildfowl are both a type of [MASK] ,organism | bird | food,1,B) bird,B,1,1
137,A goldeneye and a wildfowl are both a type of [MASK] ,meat | bird | insect,1,B) bird,B,1,1
138,A nuthatch and a wildfowl are both a type of [MASK] ,organism | bird | meat,1,B) bird,B,1,1
139,A moorhen and a wildfowl are both a type of [MASK] ,bird | meat | organism,0,A) bird,A,0,1
140,A nighthawk and a wildfowl are both a type of [MASK] ,meat | organism | bird,2,C) bird,C,2,1
141,A curlew and a wildfowl are both a type of [MASK] ,food | animal | bird,2,C) bird,C,2,1
142,A mousse and a dumpling are both a type of [MASK] ,dish | pasta | dessert,2,C) dessert,C,2,1
143,A haddock and a eagle are both a type of [MASK] ,bird | fish | organism,2,A) bird,A,0,0
144,A barbet and a andrena are both a type of [MASK] ,bee | bird | organism,2,B) bird,B,1,0
145,A eagle and a mare are both a type of [MASK] ,organism | mammal | bird,0,B) mammal,B,1,0
146,A pompon and a andrena are both a type of [MASK] ,bee | organism | fish,1,A) bee,A,0,0
147,A myna and a chives are both a type of [MASK] ,food | bird | organism,2,B) bird,B,1,0
148,A andrena and a bowfin are both a type of [MASK] ,organism | fish | bee,0,B) fish,B,1,0
149,A blastula and a chives are both a type of [MASK] ,food | organism | animal,1,B) organism,B,1,1
150,A mare and a chives are both a type of [MASK] ,food | organism | mammal,1,C) mammal,C,2,0
151,A trilobite and a chives are both a type of [MASK] ,organism | animal | food,0,A) organism,A,0,1
152,A iguanodon and a chives are both a type of [MASK] ,animal | food | organism,2,A) animal,A,0,0
153,A weakfish and a redstart are both a type of [MASK] ,bird | food | organism,2,A) bird,A,0,0
154,A blackbird and a chives are both a type of [MASK] ,organism | animal | food,0,A) organism,A,0,1
155,A damselfish and a celeriac are both a type of [MASK] ,organism | food | animal,0,B) food,B,1,0
156,A praya and a chives are both a type of [MASK] ,food | animal | organism,2,C) organism,C,2,1
157,A bowfin and a chives are both a type of [MASK] ,food | organism | animal,1,B) organism,B,1,1
158,A redstart and a chives are both a type of [MASK] ,food | organism | bird,1,C) bird,C,2,0
159,A wireworm and a chives are both a type of [MASK] ,animal | food | organism,2,C) organism,C,2,1
160,A chives and a manta are both a type of [MASK] ,organism | animal | food,0,A) organism,A,0,1
161,A manta and a cedar waxwing are both a type of [MASK] ,organism | bird | fish,0,B) bird,B,1,0
162,A guan and a halibut are both a type of [MASK] ,organism | bird | food,0,A) organism,A,0,1
163,A halibut and a cedar waxwing are both a type of [MASK] ,organism | fish | bird,0,C,C,2,0
164,A entellus and a scammony are both a type of [MASK] ,substance | organism | mammal,1,A) substance,A,0,0
165,A cedar waxwing and a scammony are both a type of [MASK] ,substance | organism | bird,1,C) bird,C,2,0
166,A guillemot and a scammony are both a type of [MASK] ,bird | substance | organism,2,A) bird,A,0,0
167,A scammony and a earthworm are both a type of [MASK] ,animal | organism | substance,1,B) organism,B,1,1
168,A earthworm and a celeriac are both a type of [MASK] ,food | animal | organism,2,C) organism,C,2,1
169,A omnivore and a celeriac are both a type of [MASK] ,food | animal | organism,2,A) food,A,0,0
170,A chaetodon and a parakeet are both a type of [MASK] ,fish | organism | parrot,1,A) fish,A,0,0
171,A actinia and a celeriac are both a type of [MASK] ,food | organism | animal,1,A) food,A,0,0
172,A paca and a scarab are both a type of [MASK] ,organism | mammal | insect,0,A) organism,A,0,1
173,A scarab and a skua are both a type of [MASK] ,organism | insect | bird,0,C) bird,C,2,0
174,A hog and a celeriac are both a type of [MASK] ,animal | organism | food,1,C) food,C,2,0
175,A domestic fowl and a wapiti are both a type of [MASK] ,bird | mammal | organism,2,A) bird,A,0,0
176,A mustang and a turbot are both a type of [MASK] ,organism | fish | mammal,0,C) mammal,C,2,0
177,A skua and a monarch are both a type of [MASK] ,insect | bird | organism,2,B) bird,B,1,0
178,A wapiti and a celeriac are both a type of [MASK] ,organism | food | mammal,0,B) food,B,1,0
179,A red deer and a celeriac are both a type of [MASK] ,food | organism | animal,1,C) animal,C,2,0
180,A turbot and a bongo are both a type of [MASK] ,organism | mammal | food,0,A) organism,A,0,1
181,A parakeet and a skink are both a type of [MASK] ,parrot | lizard | organism,2,B) lizard,B,1,0
182,A monarch and a skink are both a type of [MASK] ,lizard | organism | insect,1,A) lizard,A,0,0
183,A skink and a celeriac are both a type of [MASK] ,food | organism | animal,1,B) organism,B,1,1
184,A dibranchiate and a celeriac are both a type of [MASK] ,organism | food | animal,0,B) food,B,1,0
185,A bongo and a celeriac are both a type of [MASK] ,animal | food | organism,2,B) food,B,1,0
186,A celeriac and a beluga are both a type of [MASK] ,fish | organism | food,1,C) food,C,2,0
187,A beluga and a brazilwood are both a type of [MASK] ,organism | substance | fish,0,C) fish,C,2,0
188,A largemouth and a solitaire are both a type of [MASK] ,fish | bird | organism,2,A) fish,A,0,0
189,A daphnia and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,C) organism,C,2,1
190,A muskellunge and a moorcock are both a type of [MASK] ,fish | bird | organism,2,A) fish,A,0,0
191,A maigre and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,A) substance,A,0,0
192,A killifish and a brazilwood are both a type of [MASK] ,substance | organism | animal,1,B) organism,B,1,1
193,A solitaire and a brazilwood are both a type of [MASK] ,substance | animal | organism,2,A) substance,A,0,0
194,A corn earworm and a brazilwood are both a type of [MASK] ,organism | animal | substance,0,A) organism,A,0,1
195,A moorcock and a piranha are both a type of [MASK] ,organism | bird | fish,0,A) organism,A,0,1
196,A piranha and a brazilwood are both a type of [MASK] ,organism | fish | substance,0,C) substance,C,2,0
197,A linnet and a cero are both a type of [MASK] ,organism | bird | fish,0,B) bird,B,1,0
198,A cicada and a cero are both a type of [MASK] ,insect | organism | fish,1,A) insect,A,0,0
199,A cero and a brazilwood are both a type of [MASK] ,fish | organism | substance,1,C) substance,C,2,0
200,A cobia and a brazilwood are both a type of [MASK] ,organism | animal | substance,0,C) substance,C,2,0
201,A brazilwood and a hoopoe are both a type of [MASK] ,substance | organism | bird,1,C) bird,C,2,0
202,A hoopoe and a bufo are both a type of [MASK] ,bird | organism | frog,1,A) bird,A,0,0
203,A budgerigar and a hind are both a type of [MASK] ,organism | deer | parrot,0,C) parrot,C,2,0
204,A hind and a spinach are both a type of [MASK] ,organism | mammal | food,0,C) food,C,2,0
205,A bufo and a spinach are both a type of [MASK] ,food | organism | frog,1,C) frog,C,2,0
206,A dingo and a spinach are both a type of [MASK] ,animal | organism | food,1,B) organism,B,1,1
207,A impala and a spinach are both a type of [MASK] ,food | animal | organism,2,B) animal,B,1,0
208,A spinach and a ocelot are both a type of [MASK] ,organism | mammal | food,0,A) organism,A,0,1
209,A ocelot and a papyrus are both a type of [MASK] ,organism | substance | animal,0,C) animal,C,2,0
210,A walking stick and a pinscher are both a type of [MASK] ,organism | mammal | insect,0,B) mammal,B,1,0
211,A pinscher and a escolar are both a type of [MASK] ,mammal | fish | organism,2,B) fish,B,1,0
212,A escolar and a papyrus are both a type of [MASK] ,fish | organism | substance,1,A) fish,A,0,0
213,A fissiped mammal and a papyrus are both a type of [MASK] ,substance | organism | animal,1,C) animal,C,2,0
214,A lasagna and a dumpling are both a type of [MASK] ,dessert | pasta | dish,1,C),C,2,0
215,A spaghetti and a dumpling are both a type of [MASK] ,dish | pasta | dessert,1,B) pasta,B,1,1
216,A borsch and a lasagna are both a type of [MASK] ,pasta | soup | dish,2,C),C,2,1
217,A julienne and a lasagna are both a type of [MASK] ,pasta | soup | dish,2,A) pasta,A,0,0
218,A potage and a lasagna are both a type of [MASK] ,soup | pasta | dish,2,A) soup,A,0,0
219,A bisque and a spaghetti are both a type of [MASK] ,dish | soup | pasta,0,C) pasta,C,2,0
220,A bouillon and a barbecue are both a type of [MASK] ,meal | soup | dish,2,C) dish,C,2,1
221,A consomme and a mousse are both a type of [MASK] ,soup | dessert | dish,2,A) soup,A,0,0
222,A vichyssoise and a barbecue are both a type of [MASK] ,soup | meal | dish,2,A) soup,A,0,0
223,A gazpacho and a cannelloni are both a type of [MASK] ,pasta | dish | soup,1,B),B,1,1
224,A mousse and a barbecue are both a type of [MASK] ,dish | meal | dessert,0,A) dish,A,0,1
225,A barbecue and a broth are both a type of [MASK] ,dish | soup | meal,0,A) dish,A,0,1
226,A spaghetti and a chowder are both a type of [MASK] ,pasta | dish | soup,1,C),C,2,0
227,A couscous and a broth are both a type of [MASK] ,soup | dish | pasta,1,A),A,0,0
228,A pudding and a soup are both a type of [MASK] ,substance | dish | dessert,1,B),B,1,1
229,A chowder and a cannelloni are both a type of [MASK] ,dish | soup | pasta,0,A) dish,A,0,1
230,A rickey and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,A) substance,A,0,0
231,A kava and a ergosterol are both a type of [MASK] ,alcohol | food | substance,0,C) substance,C,2,0
232,A brew and a ergosterol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
233,A metheglin and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,A) substance,A,0,0
234,A zinfandel and a ergosterol are both a type of [MASK] ,substance | food | alcohol,2,C) alcohol,C,2,1
235,A ratafia and a ergosterol are both a type of [MASK] ,substance | alcohol | food,1,A) substance,A,0,0
236,A schnapps and a ergosterol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
237,A macon and a ergosterol are both a type of [MASK] ,substance | wine | alcohol,2,A) substance,A,0,0
238,A nipa and a ergosterol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
239,A rotgut and a ergosterol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
240,A koumiss and a ergosterol are both a type of [MASK] ,alcohol | substance | food,0,C) food,C,2,0
241,A bourbon and a ergosterol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
242,A ergosterol and a champagne are both a type of [MASK] ,wine | alcohol | substance,1,A) wine,A,0,0
243,A champagne and a cyclohexanol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
244,A julep and a cyclohexanol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
245,A cyclohexanol and a poteen are both a type of [MASK] ,substance | alcohol | food,1,B) alcohol,B,1,1
246,A poteen and a cholesterol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
247,A kummel and a cholesterol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
248,A applejack and a cholesterol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
249,A bock and a cholesterol are both a type of [MASK] ,substance | alcohol | food,1,A) substance,A,0,0
250,A geneva and a cholesterol are both a type of [MASK] ,alcohol | food | substance,0,C) substance,C,2,0
251,A cholesterol and a hooch are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
252,A hooch and a glycerol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
253,A ouzo and a glycerol are both a type of [MASK] ,substance | food | alcohol,2,C) alcohol,C,2,1
254,A firewater and a glycerol are both a type of [MASK] ,substance | food | alcohol,2,C) alcohol,C,2,1
255,A glycerol and a kirsch are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
256,A kirsch and a methanol are both a type of [MASK] ,substance | alcohol | food,1,B) alcohol,B,1,1
257,A marc and a methanol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
258,A aperitif and a methanol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
259,A grappa and a methanol are both a type of [MASK] ,substance | alcohol | food,1,B) alcohol,B,1,1
260,A grog and a methanol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
261,A curacao and a methanol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
262,A pastis and a methanol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
263,A methanol and a collins are both a type of [MASK] ,substance | alcohol | food,1,B) alcohol,B,1,1
264,A collins and a diol are both a type of [MASK] ,substance | food | alcohol,2,C) alcohol,C,2,1
265,A whiskey and a diol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
266,A negus and a diol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
267,A flip and a diol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
268,A vermouth and a diol are both a type of [MASK] ,wine | alcohol | substance,1,A) wine,A,0,0
269,A hot toddy and a diol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
270,A home brew and a diol are both a type of [MASK] ,substance | alcohol | food,1,B) alcohol,B,1,1
271,A varietal and a diol are both a type of [MASK] ,wine | substance | alcohol,2,A) wine,A,0,0
272,A screwdriver and a diol are both a type of [MASK] ,substance | food | alcohol,2,C) alcohol,C,2,1
273,A swizzle and a diol are both a type of [MASK] ,food | alcohol | substance,1,C) substance,C,2,0
274,A plonk and a diol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
275,A eggnog and a diol are both a type of [MASK] ,food | alcohol | substance,1,B) alcohol,B,1,1
276,A wassail and a diol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
277,A diol and a aquavit are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
278,A aquavit and a sterol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
279,A sake and a sterol are both a type of [MASK] ,substance | food | alcohol,2,A) substance,A,0,0
280,A benedictine and a sterol are both a type of [MASK] ,food | substance | alcohol,2,B) substance,B,1,0
281,A beer and a sterol are both a type of [MASK] ,food | substance | alcohol,2,C) alcohol,C,2,1
282,A gimlet and a sterol are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
283,A kvass and a sterol are both a type of [MASK] ,substance | alcohol | food,1,A,A,0,0
284,A claret and a sterol are both a type of [MASK] ,substance | alcohol | food,1,A) substance,A,0,0
285,A rum and a sterol are both a type of [MASK] ,alcohol | substance | food,0,A) alcohol,A,0,1
286,A sterol and a mescal are both a type of [MASK] ,alcohol | food | substance,0,A) alcohol,A,0,1
287,A propanol and a mescal are both a type of [MASK] ,organism | alcohol | substance,1,B) alcohol,B,1,1
288,A mescal and a retsina are both a type of [MASK] ,organism | wine | alcohol,2,B) wine,B,1,0
289,A retsina and a grasshopper are both a type of [MASK] ,organism | wine | alcohol,2,B) wine,B,1,0
290,A malmsey and a liquor are both a type of [MASK] ,substance | wine | alcohol,2,B) wine,B,1,0
291,A liquor and a grasshopper are both a type of [MASK] ,organism | substance | alcohol,2,C) alcohol,C,2,1
292,A scammony and a whey are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
293,A whey and a cedar are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
294,A cedar and a ergosterol are both a type of [MASK] ,substance | alcohol | organism,0,A) substance,A,0,1
295,A brazilwood and a ergosterol are both a type of [MASK] ,alcohol | organism | substance,2,C) substance,C,2,1
